,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,13.16,0.75,0.55,0.49,0.66,0.74,1.06,1.0,0.58,2.75,1.37,1.12,1.07,1.16,1.05,1.16
f_1,0.61,11.44,1.78,0.66,0.58,0.57,0.86,0.9,1.03,0.84,0.87,0.59,1.05,0.83,0.99,0.59
e_1,0.57,0.76,10.83,0.93,0.72,0.7,0.96,0.92,2.43,0.86,1.04,0.91,0.86,0.89,0.85,0.71
c_1,0.67,0.56,0.58,13.63,1.97,0.66,0.91,0.96,0.81,0.44,0.55,1.18,1.01,0.92,0.94,0.92
b_1,0.67,0.68,0.66,0.74,12.26,1.81,0.8,0.76,0.83,0.79,0.61,0.96,0.82,0.86,1.03,0.96
a_1,0.86,0.6,0.61,0.81,0.65,19.72,1.09,0.94,0.9,0.87,1.08,0.98,1.16,0.72,1.06,1.21
h_1,0.93,1.34,0.75,0.81,0.65,0.59,3.09,1.59,0.75,0.97,0.83,0.85,0.69,1.02,1.22,1.05
g_1,1.59,0.68,0.61,0.78,0.68,0.64,0.88,3.6,0.78,1.18,1.02,1.8,1.1,1.02,0.67,1.44
d_0,0.54,0.85,0.73,2.64,0.81,0.59,0.99,0.98,1.89,0.67,1.02,0.89,1.08,0.84,0.95,1.11
c_0,1.05,1.15,0.68,0.59,0.52,0.74,1.37,1.04,0.98,2.03,3.31,1.07,1.3,1.56,1.17,1.52
b_0,1.17,0.98,0.7,0.85,0.44,0.62,1.14,1.1,0.84,0.98,2.41,1.09,1.13,2.61,1.33,1.06
f_0,0.91,0.72,0.6,0.78,0.74,0.92,1.14,0.98,1.01,1.13,1.2,2.66,1.04,1.23,1.1,3.33
h_0,1.03,1.4,0.84,0.73,0.63,0.63,0.59,1.37,0.82,0.94,1.34,1.06,0.9,1.05,1.49,0.94
a_0,0.88,1.14,0.69,1.02,0.81,0.38,1.17,1.13,1.17,1.05,1.31,1.09,1.32,2.87,1.16,1.08
g_0,1.65,0.69,0.64,0.78,0.75,0.78,0.95,0.68,0.79,1.06,1.28,2.01,1.02,1.22,0.96,1.42
e_0,0.96,1.04,0.72,0.78,0.8,0.92,1.18,1.18,0.73,0.78,1.19,0.99,1.28,1.18,0.92,2.77
