,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,5.91,1.66,1.21,1.14,1.51,1.81,5.28,5.73,3.94,14.12,8.71,8.61,12.05,8.46,11.72,9.14
f_1,1.42,6.02,2.7,1.52,1.24,1.09,5.61,5.24,6.73,6.54,6.27,3.1,10.82,7.08,11.38,4.23
e_1,1.33,1.56,6.04,1.69,1.66,1.47,5.88,4.75,12.75,7.49,7.57,7.29,10.01,7.56,10.05,3.71
c_1,1.45,1.35,1.35,7.21,2.82,1.25,5.99,5.9,6.81,2.25,4.84,8.4,11.38,7.35,8.95,7.33
b_1,1.59,1.47,1.51,1.6,7.71,2.99,4.49,4.67,6.37,5.95,3.29,8.31,9.64,6.62,11.57,7.98
a_1,1.69,1.47,1.4,1.63,1.43,10.86,6.13,6.45,6.7,6.94,8.38,7.76,10.76,4.2,12.14,8.96
h_1,2.01,2.67,1.55,1.98,1.62,1.54,16.59,9.43,8.58,7.92,7.68,8.11,9.07,9.5,15.2,10.42
g_1,2.88,1.74,1.55,1.93,1.79,1.47,6.4,19.05,6.99,8.66,8.34,12.59,13.08,7.84,6.15,10.49
d_0,1.24,1.83,1.75,3.7,1.77,1.64,7.18,6.94,15.81,7.25,9.16,7.1,12.92,7.24,12.13,12.17
c_0,2.15,2.16,1.72,1.23,1.55,1.78,8.31,6.49,9.4,15.42,17.46,9.32,14.14,11.98,12.39,12.54
b_0,2.17,2.31,1.78,2.05,1.04,1.71,7.82,6.7,7.45,8.67,17.96,8.07,15.59,18.36,16.1,8.79
f_0,2.21,1.34,1.58,1.74,1.87,1.96,6.94,6.81,9.45,9.94,9.57,20.08,13.0,11.21,14.49,24.33
h_0,2.1,2.89,1.92,1.68,1.67,1.41,3.86,8.54,7.03,8.59,10.03,8.49,9.3,9.12,18.0,7.87
a_0,1.81,2.28,1.93,2.13,1.78,0.76,7.64,6.44,9.74,10.65,10.09,8.49,15.61,23.88,13.89,8.64
g_0,2.92,1.54,1.7,1.99,1.65,1.49,5.56,4.61,7.02,9.4,9.5,14.36,13.34,9.49,9.46,11.06
e_0,2.4,2.18,1.22,1.77,2.07,1.84,6.95,7.35,7.88,8.43,11.3,8.87,16.07,9.33,13.47,27.09
