,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.45,42.22,30.84,41.33,29.01,32.96,9.5,5.48,,6.34,6.15,6.17,4.64,8.34,2.9,5.56
f_1,35.24,0.45,33.46,45.76,33.16,27.76,6.94,9.86,6.96,8.03,6.78,,2.75,5.59,4.81,7.76
e_1,45.38,18.83,0.44,35.68,31.15,31.17,9.66,9.5,6.95,10.26,8.16,7.44,4.71,6.01,3.54,
c_1,49.41,32.19,41.68,0.41,37.2,40.18,8.56,8.12,4.23,,6.76,9.18,6.84,5.49,5.58,10.02
b_1,38.66,43.18,41.53,22.32,0.39,,10.38,8.98,7.26,7.27,,6.55,4.53,,5.14,8.27
a_1,30.58,44.18,38.93,56.26,,0.33,16.83,,10.27,8.61,12.5,9.28,6.41,,7.09,
h_1,18.34,18.95,21.31,14.89,22.22,15.04,0.37,5.54,2.9,3.64,3.46,3.34,,3.59,2.95,3.18
g_1,19.13,22.84,20.48,15.07,22.63,,3.33,0.35,5.64,5.0,3.43,3.92,2.38,,,
d_0,,17.76,8.98,13.2,16.04,13.69,4.0,4.84,0.51,2.5,3.06,2.94,2.13,2.64,2.68,3.4
c_0,8.23,16.52,16.46,,18.33,16.18,4.45,3.98,3.46,0.53,3.3,2.81,1.7,3.22,2.0,3.56
b_0,18.87,17.32,16.27,24.99,,22.22,6.02,4.25,3.05,1.84,0.45,3.09,2.64,2.95,2.79,2.19
f_0,18.58,,15.9,15.62,15.03,16.86,5.55,3.91,3.37,3.27,6.05,0.46,2.52,3.74,1.35,3.15
h_0,11.35,10.6,16.96,14.15,14.13,14.42,,3.41,2.35,2.28,2.28,2.9,,2.17,1.86,1.9
a_0,18.28,18.58,25.7,21.43,,,4.9,,4.7,3.61,2.86,3.99,2.78,0.4,4.13,
g_0,13.35,12.3,17.16,14.31,13.82,15.62,2.63,,2.85,3.21,3.09,3.7,1.66,3.06,,
e_0,20.77,38.75,,16.86,20.52,,7.6,,3.28,3.06,5.24,1.95,3.41,,,0.35
