,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,3.78,0.41,0.3,0.46,0.4,0.26,0.79,0.77,1.61,0.75,0.95,0.94,1.01,0.24,0.95,0.94
f_1,0.72,3.81,0.39,0.38,0.32,0.34,0.71,0.72,0.72,0.8,0.18,0.78,0.95,0.61,0.69,0.66
d_1,0.34,0.44,4.17,0.36,0.38,0.43,0.72,0.69,0.17,1.59,0.7,0.97,0.96,0.81,0.95,0.6
c_1,0.33,0.46,0.37,4.39,0.71,0.38,0.77,0.65,0.83,0.13,0.74,0.71,1.05,0.76,0.9,0.81
b_1,0.37,0.39,0.35,0.34,5.22,0.71,0.79,0.69,0.75,0.79,0.92,0.17,0.85,1.01,0.8,0.83
a_1,0.43,0.38,0.47,0.37,0.43,6.59,0.83,0.69,0.65,0.86,0.79,0.63,0.78,0.73,0.78,0.15
h_1,0.6,0.97,0.63,0.68,0.63,0.61,5.16,1.9,1.41,1.25,1.42,1.31,0.46,1.53,1.61,1.44
g_1,0.72,0.66,1.13,0.51,0.47,0.75,1.09,6.3,0.99,1.31,2.19,1.44,1.06,1.29,0.63,1.44
d_0,0.64,0.68,0.22,1.51,0.72,0.71,1.18,1.1,3.58,1.13,1.61,1.27,1.26,1.52,1.55,1.65
c_0,0.8,0.68,0.95,0.29,0.56,0.8,1.12,1.42,1.29,3.83,1.81,2.68,1.58,1.89,1.66,1.71
f_0,0.68,0.31,0.61,0.88,0.71,0.72,1.52,1.21,1.7,1.26,4.58,1.75,1.25,3.53,1.97,1.75
b_0,0.69,0.68,0.84,0.78,0.27,0.57,1.36,1.45,1.46,1.41,1.66,4.83,1.49,1.86,1.73,3.5
h_0,0.57,0.87,0.81,0.83,0.59,0.82,0.51,1.56,1.5,1.24,1.37,1.31,0.59,1.23,2.07,1.29
e_0,0.17,0.82,0.9,0.95,0.73,0.69,1.5,1.55,1.34,1.57,1.8,1.24,1.67,6.44,1.32,1.22
g_0,0.52,0.52,1.25,0.71,0.65,0.55,1.17,0.71,1.4,1.36,2.36,1.39,1.47,2.12,0.87,1.21
a_0,0.65,0.84,1.09,0.79,0.61,0.24,1.33,1.28,1.43,1.22,1.63,1.63,1.51,1.13,1.63,6.64
