,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.17,0.92,1.94,2.0,1.77,1.52,0.52,0.42,0.32,0.4,0.35,0.36,0.27,1.84,0.34,0.37
f_1,1.62,0.17,1.51,1.42,1.69,1.75,0.34,0.54,0.37,0.32,0.98,0.37,0.19,0.33,0.32,0.32
d_1,2.23,1.69,0.16,1.77,1.88,1.42,0.5,0.29,0.29,1.49,0.41,0.34,0.23,0.29,0.14,0.24
c_1,1.42,1.72,1.84,0.15,1.94,1.78,0.51,0.61,1.04,0.17,0.29,0.31,0.22,0.26,0.25,0.33
b_1,1.66,2.04,1.75,0.93,0.13,1.53,0.47,0.69,0.41,0.34,0.33,1.37,0.27,0.36,0.23,0.43
a_1,2.56,1.92,1.52,1.73,0.92,0.1,0.53,0.43,0.32,0.31,0.36,0.42,0.2,0.4,0.28,1.52
h_1,0.92,1.02,0.97,0.91,0.9,0.84,0.07,0.31,0.21,0.2,0.18,0.2,0.35,0.16,0.15,0.19
g_1,0.87,0.95,0.96,1.03,0.92,0.9,0.18,0.05,0.18,0.22,0.21,0.18,0.12,0.17,0.25,0.2
c_0,1.0,0.91,0.46,4.25,0.97,0.92,0.3,0.26,0.07,0.25,0.24,0.21,0.15,0.15,0.14,0.24
d_0,0.43,1.1,2.53,0.95,0.99,1.17,0.27,0.35,0.23,0.08,0.18,0.21,0.13,0.21,0.15,0.21
f_0,0.74,2.88,0.95,1.03,0.78,0.96,0.25,0.16,0.16,0.17,0.06,0.17,0.14,0.16,0.08,0.16
b_0,0.73,0.87,0.77,1.11,3.24,1.18,0.26,0.24,0.1,0.2,0.16,0.06,0.15,0.22,0.14,0.16
h_0,0.86,0.92,0.84,0.82,0.98,0.92,0.8,0.36,0.19,0.23,0.22,0.21,0.34,0.19,0.14,0.21
e_0,2.35,1.27,0.93,0.93,0.68,1.04,0.24,0.27,0.13,0.17,0.08,0.16,0.14,0.04,0.1,0.21
g_0,0.83,1.14,0.85,0.87,1.01,0.94,0.24,0.59,0.18,0.19,0.16,0.17,0.1,0.21,0.23,0.19
a_0,0.83,1.01,1.17,0.9,0.84,2.76,0.25,0.25,0.16,0.2,0.16,0.09,0.13,0.24,0.16,0.04
