,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,2.28,0.6,0.46,0.74,0.51,0.35,1.03,0.94,1.09,2.28,1.32,1.24,1.51,0.54,1.46,1.03
f_1,1.04,2.3,0.53,0.5,0.4,0.41,0.91,0.88,1.14,1.17,0.53,1.08,1.39,0.72,1.06,0.8
d_1,0.53,0.67,2.4,0.46,0.47,0.46,1.03,0.89,2.3,0.56,1.11,1.31,1.65,0.99,1.33,0.85
c_1,0.51,0.64,0.51,2.46,0.97,0.45,1.04,0.79,0.46,1.13,1.03,0.8,1.52,0.87,1.32,0.87
b_1,0.55,0.55,0.53,0.53,2.66,0.88,1.13,0.94,1.09,1.07,1.17,0.41,1.28,1.21,1.23,0.85
a_1,0.59,0.6,0.72,0.55,0.49,2.98,1.13,0.98,1.22,1.06,1.1,0.96,1.64,0.89,1.3,0.35
h_1,0.63,1.06,0.7,0.72,0.53,0.52,3.11,1.6,1.41,1.52,1.18,1.31,1.11,1.34,1.85,0.99
g_1,0.7,0.61,1.04,0.61,0.43,0.62,1.28,3.36,1.48,1.18,1.92,1.38,1.37,1.22,1.15,1.16
c_0,0.77,0.74,0.94,0.4,0.46,0.58,1.17,1.31,2.69,1.5,1.64,2.69,1.7,1.39,1.62,1.48
d_0,0.72,0.79,0.37,1.39,0.67,0.51,1.0,1.1,0.93,2.54,1.4,1.14,1.76,1.01,1.64,1.09
f_0,0.64,0.53,0.76,0.85,0.68,0.5,1.36,1.0,1.44,1.68,2.94,1.55,1.67,2.57,1.84,1.19
b_0,0.69,0.75,0.92,0.71,0.38,0.38,1.38,1.31,1.54,1.5,1.51,3.06,1.96,1.43,1.73,2.94
h_0,0.68,0.89,0.83,0.7,0.54,0.57,0.8,1.54,1.34,1.51,1.22,1.38,1.16,0.94,2.19,1.19
e_0,0.33,0.88,0.79,0.86,0.6,0.61,1.37,1.26,1.52,1.27,1.52,1.54,2.01,3.19,1.6,1.03
g_0,0.61,0.59,1.18,0.7,0.55,0.51,1.36,0.78,1.44,1.29,2.3,1.33,1.63,1.59,1.34,1.13
a_0,0.63,0.86,0.91,0.76,0.65,0.28,1.52,1.18,1.11,1.47,1.5,1.38,1.94,1.08,1.68,3.35
