,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,3.87,0.4,0.31,0.47,0.36,0.39,0.81,1.58,0.6,0.71,0.83,1.03,0.79,0.39,0.69,0.71
f_1,0.93,4.06,0.37,0.25,0.27,0.35,0.65,0.6,0.68,0.98,0.17,0.63,0.88,0.54,0.95,0.68
d_1,0.3,0.47,4.29,0.34,0.4,0.35,0.75,0.17,0.84,1.62,0.86,0.79,0.8,0.81,0.63,0.87
c_1,0.27,0.34,0.4,4.26,0.84,0.39,0.77,0.79,0.6,0.14,0.87,0.61,1.02,0.76,0.69,0.96
b_1,0.37,0.36,0.41,0.4,4.84,0.72,0.73,0.76,0.59,0.66,0.88,0.28,0.87,0.88,0.61,0.92
a_1,0.35,0.47,0.45,0.39,0.31,6.81,0.62,0.88,0.74,0.56,0.7,0.8,1.09,0.95,0.19,0.78
h_1,0.46,0.91,0.71,0.81,0.63,0.57,5.1,1.29,1.7,1.26,1.22,1.37,0.63,1.48,1.52,2.12
d_0,0.66,0.55,0.27,1.43,0.66,0.56,1.4,3.38,1.39,1.16,1.63,1.85,1.25,1.65,1.79,1.44
g_1,0.57,0.61,1.01,0.76,0.63,0.61,1.12,0.92,6.14,1.2,2.35,1.27,1.43,1.63,1.61,0.57
c_0,0.83,0.8,0.89,0.28,0.49,0.63,1.46,1.43,1.24,4.1,1.65,2.77,1.54,1.32,1.59,1.97
f_0,0.59,0.22,0.79,0.83,0.76,0.85,1.32,1.6,1.64,1.19,4.45,1.75,1.67,3.03,1.94,1.59
b_0,0.58,1.05,0.7,0.74,0.22,0.39,1.44,1.65,1.51,1.46,1.4,4.87,1.55,1.76,3.38,1.79
h_0,0.59,0.99,0.73,0.72,0.62,0.65,0.71,1.51,1.73,1.48,1.6,1.44,0.5,1.47,1.31,1.81
e_0,0.29,0.9,0.71,0.83,0.74,0.69,1.56,1.59,1.68,1.46,1.29,1.49,2.44,6.37,2.05,2.22
a_0,0.81,0.7,0.72,0.81,0.67,0.23,1.7,1.41,1.69,1.66,1.48,1.53,1.46,1.04,5.69,1.66
g_0,0.48,0.57,1.23,0.6,0.66,0.56,1.24,1.24,0.79,1.6,2.22,1.44,1.59,1.6,1.79,0.74
