,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,17.13,0.54,0.43,0.77,0.5,0.5,0.97,2.16,0.75,0.81,1.02,1.25,0.86,0.63,0.9,0.83
f_1,1.55,17.91,0.48,0.33,0.37,0.44,0.75,0.69,0.78,1.1,0.35,0.8,0.97,0.57,1.14,0.75
d_1,0.4,0.63,21.16,0.42,0.54,0.5,0.88,0.33,1.01,2.2,0.98,1.0,0.86,0.92,0.77,0.96
c_1,0.36,0.43,0.5,19.75,1.39,0.52,0.93,0.85,0.71,0.24,1.0,0.61,1.02,0.89,0.7,1.02
b_1,0.46,0.45,0.59,0.57,21.12,1.25,0.79,0.83,0.69,0.75,0.97,0.41,0.99,1.01,0.62,1.02
a_1,0.44,0.75,0.61,0.55,0.43,30.68,0.7,0.93,0.94,0.58,0.87,0.86,1.27,1.22,0.51,0.89
h_1,0.49,1.07,0.79,0.75,0.58,0.51,5.42,0.93,1.74,1.03,1.05,1.25,0.64,1.15,1.41,1.96
d_0,0.59,0.62,0.35,1.78,0.68,0.64,1.21,2.89,1.1,0.73,1.29,1.46,1.21,1.26,1.4,1.22
g_1,0.53,0.56,1.18,0.75,0.65,0.65,1.09,0.78,6.89,0.99,2.13,1.01,1.12,1.2,1.11,0.65
c_0,0.86,0.78,0.98,0.3,0.39,0.66,1.28,1.25,1.05,3.65,1.24,3.04,1.24,1.13,1.58,1.51
f_0,0.47,0.35,0.77,0.96,0.77,0.79,1.15,1.28,1.41,1.01,4.02,1.28,1.18,3.08,1.41,1.3
b_0,0.62,1.03,0.67,0.83,0.22,0.37,1.36,1.21,1.43,1.14,1.12,4.55,1.17,1.5,3.81,1.41
h_0,0.62,1.13,0.7,0.68,0.55,0.74,0.75,1.3,1.66,1.2,1.16,1.14,0.72,1.15,0.99,1.67
e_0,0.3,0.88,0.65,0.78,0.59,0.6,1.38,1.14,1.35,1.33,1.08,1.26,1.82,5.46,1.76,1.52
a_0,0.87,0.67,0.75,0.8,0.57,0.31,1.52,1.18,1.28,1.52,1.11,1.34,1.09,1.01,4.39,1.29
g_0,0.52,0.59,1.61,0.61,0.65,0.66,1.07,0.94,0.75,1.57,2.38,1.13,1.3,1.28,1.51,0.73
