,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.04,1.06,1.55,1.77,1.53,1.26,0.6,0.58,0.6,0.44,0.53,0.46,0.39,0.48,0.36,0.4
f_1,1.77,1.05,1.4,1.66,1.42,1.13,0.47,0.57,0.62,0.47,0.55,0.44,0.3,0.37,0.42,0.37
d_1,1.78,1.82,1.04,1.57,1.44,1.31,0.57,0.59,0.42,0.56,0.45,0.51,0.35,0.4,0.39,0.26
c_1,1.36,1.69,1.94,1.04,1.74,1.32,0.62,0.35,0.58,0.53,0.46,0.4,0.38,0.37,0.39,0.37
b_1,1.75,2.19,1.86,1.23,1.05,1.9,0.7,0.51,0.67,0.72,0.53,0.61,0.44,0.5,0.42,0.38
a_1,2.55,2.92,2.47,2.25,1.35,1.06,1.04,0.82,0.85,0.77,0.65,0.98,0.54,0.71,0.78,0.52
h_1,4.25,4.61,4.26,4.15,4.08,3.41,1.24,1.27,1.83,1.2,1.19,1.16,1.04,0.98,0.93,0.98
d_0,3.48,4.25,5.51,5.74,5.38,3.84,2.1,1.32,2.17,1.31,1.42,1.32,1.1,1.39,1.32,1.25
g_1,5.04,4.85,5.5,5.21,4.57,4.18,1.47,1.41,1.26,1.47,1.42,1.26,0.88,1.13,1.05,1.01
c_0,5.6,4.98,3.52,6.89,4.73,5.04,2.08,2.2,1.82,1.31,1.52,1.81,1.2,1.36,1.29,1.12
f_0,5.12,5.96,6.18,5.7,5.65,4.65,2.19,1.74,1.63,1.69,1.36,1.54,1.28,1.86,1.45,0.93
b_0,5.59,5.85,5.08,8.07,6.74,4.62,2.29,1.93,2.37,1.18,1.67,1.35,1.39,1.58,1.74,1.43
h_0,6.92,7.16,7.2,7.04,6.53,5.41,3.05,2.26,3.01,2.08,2.11,2.09,1.74,1.58,1.82,1.66
e_0,8.1,9.22,7.62,8.1,7.05,5.81,3.06,2.5,2.74,2.54,1.48,2.03,1.85,1.43,2.24,1.55
a_0,7.9,7.52,7.42,9.18,9.44,7.3,3.02,2.37,3.01,1.94,2.13,1.34,2.02,1.6,1.46,1.61
g_0,8.22,8.02,8.46,7.7,7.59,6.66,2.47,2.45,3.28,2.36,2.47,2.24,1.59,1.99,2.01,1.79
