,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.65,1.08,1.32,0.96,1.04,1.21,1.28,0.9,0.82,1.0,1.38,1.0,,0.86,0.98
f_1,1.54,1.0,0.91,0.79,0.84,0.98,0.9,0.97,1.1,1.23,,0.73,0.83,1.14,0.93,1.0
d_1,0.93,1.1,1.0,0.97,0.98,0.83,1.08,,0.92,1.4,0.9,1.06,0.93,1.29,0.93,0.73
c_1,0.76,1.26,1.03,1.0,1.45,0.9,0.94,0.66,0.78,,1.2,1.04,1.22,0.97,0.97,1.1
b_1,1.04,1.2,1.02,0.69,1.0,1.46,1.11,1.02,1.02,1.08,0.97,,1.0,1.12,0.83,0.94
a_1,0.96,1.02,1.2,1.11,0.68,1.0,1.03,1.0,1.0,0.97,0.69,1.35,1.18,,,0.94
h_1,0.83,1.11,0.93,1.07,0.9,0.97,1.0,0.97,1.22,0.84,1.02,0.96,,1.04,0.94,1.28
d_0,0.78,1.03,,1.51,0.99,1.0,1.03,1.0,1.24,0.88,1.0,0.99,0.85,0.91,1.13,0.91
g_1,1.11,0.91,1.09,1.28,0.98,1.0,0.82,0.8,1.0,1.04,1.43,0.88,0.83,0.94,0.95,
c_0,1.22,0.81,0.71,,0.93,1.04,1.19,1.14,0.97,1.0,1.24,1.22,1.03,0.9,0.87,1.01
f_0,1.0,,1.11,0.83,1.04,1.44,0.98,1.0,0.7,0.8,1.0,1.11,1.02,1.6,1.32,0.83
b_0,0.73,1.37,0.94,0.96,,0.74,1.04,1.01,1.14,0.82,0.9,1.0,1.0,1.03,1.39,1.15
h_0,1.0,1.21,1.08,0.82,1.0,0.85,,1.18,1.21,0.97,0.98,1.0,,0.61,0.92,1.05
e_0,,0.87,0.77,1.03,0.89,,0.96,1.1,1.06,1.11,0.62,0.97,1.65,1.0,,1.3
a_0,1.16,1.08,1.07,1.03,1.21,,1.07,0.89,1.06,1.15,0.76,0.72,1.08,,1.0,1.12
g_0,1.02,1.0,1.37,0.91,1.06,1.07,0.78,1.1,,0.99,1.21,0.87,0.95,0.77,0.89,
