,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.76,1.25,0.75,0.84,0.74,0.62,0.9,0.84,1.0,0.82,0.94,0.64,0.99,0.9,0.89,0.72
e_1,0.87,1.75,0.74,0.98,0.7,0.72,1.15,0.96,1.5,1.0,1.11,1.04,1.13,1.0,0.99,0.85
d_1,0.86,0.78,1.9,0.66,0.74,0.79,1.02,1.02,0.65,1.68,1.3,1.15,1.04,0.98,1.04,1.15
c_1,0.8,0.76,0.79,1.93,1.38,0.85,0.81,0.8,0.88,0.61,0.62,0.87,0.89,0.95,0.87,0.92
b_1,0.77,0.72,0.93,0.78,2.17,1.52,0.88,0.9,0.89,0.84,0.66,0.97,0.68,0.94,0.93,0.9
a_1,0.84,0.74,0.92,0.79,0.86,2.74,1.02,1.05,0.92,0.91,0.87,1.05,0.67,1.23,1.04,0.99
h_1,1.11,0.84,0.91,0.91,0.74,0.71,1.72,1.25,1.08,1.03,1.09,1.04,0.98,0.86,1.34,1.24
g_1,0.76,0.83,1.3,0.86,0.72,0.83,0.88,1.99,0.8,1.06,1.05,1.4,0.91,1.04,1.01,1.1
d_0,0.88,0.78,0.68,1.49,0.93,0.73,1.0,1.02,1.44,0.7,0.93,1.02,1.11,1.05,1.06,1.08
c_0,0.97,0.95,0.89,0.81,0.65,0.71,1.1,1.19,1.1,1.55,2.07,1.21,1.36,1.13,1.07,1.25
b_0,1.04,0.85,0.96,0.92,0.68,0.6,1.02,1.24,1.02,1.01,1.62,0.95,2.05,1.28,1.16,1.04
f_0,0.77,0.81,0.95,1.0,0.9,0.82,1.14,1.1,1.13,1.04,1.08,1.8,1.06,1.1,1.15,2.25
a_0,1.05,0.89,0.98,0.93,0.73,0.59,1.19,1.21,1.05,1.0,1.21,1.12,2.03,1.05,1.18,0.99
h_0,1.17,0.92,0.97,0.87,0.79,0.61,0.74,1.37,0.87,0.93,0.97,1.07,0.93,0.84,1.45,1.04
g_0,0.88,0.8,1.19,0.88,0.82,0.84,1.1,0.87,0.93,0.97,0.93,1.48,1.06,1.1,0.91,1.25
e_0,0.99,0.82,0.95,1.01,0.78,0.8,0.97,1.22,0.86,1.08,1.14,0.92,1.13,1.17,1.18,2.27
