,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,12.46,1.54,0.6,0.67,0.59,0.48,0.8,0.81,0.89,0.68,0.95,0.47,0.91,0.83,0.87,0.63
e_1,0.69,12.16,0.56,0.81,0.54,0.62,1.27,0.9,2.21,1.02,1.2,1.11,1.17,1.0,1.02,0.74
d_1,0.69,0.59,14.15,0.5,0.57,0.73,0.92,0.96,0.44,2.65,1.44,1.23,1.03,1.03,1.03,1.18
c_1,0.63,0.59,0.63,14.13,1.65,0.63,0.74,0.71,0.82,0.44,0.55,0.81,0.93,0.91,0.84,0.86
b_1,0.58,0.54,0.71,0.66,15.58,1.78,0.84,0.88,0.87,0.72,0.4,0.94,0.61,0.93,0.86,0.94
a_1,0.67,0.55,0.8,0.65,0.76,21.0,1.03,1.07,0.89,0.9,0.82,1.06,0.57,1.41,1.05,0.97
h_1,1.22,0.61,0.79,0.8,0.6,0.58,3.74,1.4,1.17,1.11,1.06,1.03,0.93,0.71,1.71,1.24
g_1,0.58,0.61,1.93,0.69,0.55,0.75,0.83,4.66,0.69,1.06,1.02,1.74,0.85,0.96,1.01,1.12
d_0,0.74,0.6,0.43,2.26,0.82,0.64,1.07,0.97,2.32,0.62,0.96,1.05,1.08,1.09,1.01,1.08
c_0,0.92,0.77,0.77,0.51,0.5,0.64,1.15,1.41,1.2,2.65,4.39,1.37,1.57,1.19,1.07,1.52
b_0,1.01,0.7,0.84,0.86,0.53,0.51,1.11,1.38,1.04,1.01,2.65,0.87,3.28,1.51,1.19,1.14
f_0,0.56,0.57,0.89,0.94,0.82,0.8,1.37,1.01,1.27,1.09,1.21,3.12,1.03,1.23,1.33,3.85
a_0,1.14,0.68,0.8,0.81,0.61,0.43,1.32,1.38,1.16,1.08,1.43,1.2,3.58,1.09,1.28,1.11
h_0,1.5,0.8,0.93,0.77,0.66,0.49,0.63,1.69,0.84,0.88,0.98,1.12,1.07,0.72,1.61,1.05
g_0,0.7,0.63,1.39,0.74,0.66,0.84,1.19,0.73,0.94,0.93,0.89,2.04,1.19,1.21,0.74,1.36
e_0,0.82,0.5,0.9,1.09,0.69,0.66,0.97,1.41,0.96,1.05,1.17,0.88,1.22,1.3,1.25,3.91
