,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.0,1.25,1.19,1.33,1.94,2.59,15.09,29.41,29.62,25.51,38.84,52.2,61.57,57.37,139.88,94.13
e_1,0.8,1.0,1.08,1.12,1.73,2.66,21.36,28.92,45.63,33.14,46.83,66.97,74.97,78.15,119.76,133.29
d_1,0.84,0.92,1.0,1.07,1.47,2.72,18.29,18.49,25.88,38.12,42.34,50.56,61.38,83.07,86.18,134.61
c_1,0.75,0.89,0.93,1.0,1.89,2.35,13.77,21.01,16.31,19.55,28.82,40.44,59.17,58.04,97.34,81.22
b_1,0.52,0.58,0.68,0.53,1.0,2.57,12.87,17.39,18.81,17.01,19.89,35.74,39.87,44.85,71.57,72.85
a_1,0.39,0.38,0.37,0.43,0.39,1.0,8.19,11.86,9.95,11.6,13.15,15.15,33.05,29.28,37.94,41.1
h_1,0.07,0.05,0.06,0.07,0.08,0.12,1.0,1.73,1.64,1.69,1.84,2.66,3.32,4.52,7.54,6.68
g_1,0.03,0.03,0.05,0.05,0.05,0.09,0.59,1.0,0.83,0.95,1.32,2.07,2.0,2.06,5.07,4.4
d_0,0.04,0.02,0.04,0.06,0.05,0.1,0.62,1.14,1.0,1.01,1.27,1.69,2.39,2.71,3.7,3.68
c_0,0.04,0.03,0.03,0.05,0.06,0.09,0.57,1.14,0.99,1.0,2.27,1.92,2.72,2.53,3.96,3.51
b_0,0.03,0.02,0.02,0.04,0.05,0.07,0.54,0.7,0.8,0.46,1.0,1.18,2.82,2.11,3.68,2.98
f_0,0.02,0.01,0.02,0.02,0.03,0.07,0.39,0.44,0.56,0.54,0.82,1.0,1.36,1.35,2.02,4.3
a_0,0.02,0.01,0.02,0.02,0.03,,0.3,0.48,0.4,0.35,0.43,0.73,1.0,0.98,1.66,1.37
h_0,0.02,0.01,0.01,0.02,0.02,0.04,0.23,0.49,0.36,0.39,0.49,0.76,0.99,1.0,2.12,1.64
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.13,0.21,0.27,0.25,0.29,0.54,0.63,0.48,1.0,0.99
e_0,0.01,0.01,0.01,0.01,0.01,0.02,0.14,0.19,0.25,0.27,0.33,0.23,0.68,0.62,0.98,1.0
