,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.65,0.98,0.92,0.96,0.92,0.81,0.34,0.44,0.36,0.32,0.31,0.37,0.29,0.22,0.26,0.28
e_1,0.71,0.65,0.95,1.04,0.98,0.9,0.47,0.43,0.44,0.36,0.36,0.38,0.36,0.27,0.28,0.38
d_1,1.07,1.02,0.64,0.97,0.83,0.79,0.42,0.3,0.4,0.42,0.36,0.35,0.32,0.26,0.22,0.32
c_1,0.96,0.86,1.14,0.63,1.14,0.93,0.41,0.42,0.25,0.39,0.32,0.31,0.33,0.3,0.27,0.29
b_1,1.1,1.13,1.15,0.7,0.61,1.06,0.52,0.52,0.38,0.46,0.43,0.37,0.39,0.33,0.31,0.36
a_1,1.35,1.21,1.18,1.07,0.71,0.57,0.6,0.52,0.47,0.48,0.51,0.44,0.53,0.46,0.35,0.41
h_1,1.8,1.43,1.47,1.69,1.49,1.27,0.54,0.77,0.61,0.56,0.58,0.53,0.51,0.55,0.44,0.53
g_1,1.7,1.66,1.73,1.86,1.69,1.47,0.63,0.52,0.62,0.59,0.54,0.63,0.52,0.4,0.54,0.5
d_0,1.64,1.27,1.98,2.06,1.84,1.6,0.73,0.92,0.55,0.53,0.6,0.57,0.64,0.56,0.51,0.6
c_0,1.98,1.76,1.2,2.34,1.76,1.53,0.77,0.75,0.9,0.54,0.75,0.63,0.63,0.54,0.5,0.56
b_0,1.93,1.7,1.49,2.39,2.14,1.53,0.79,0.8,0.77,0.44,0.53,0.59,0.72,0.57,0.56,0.57
f_0,2.36,1.92,1.73,2.03,1.8,1.68,0.85,0.65,0.76,0.61,0.75,0.52,0.66,0.57,0.42,0.79
a_0,2.1,1.78,1.85,2.14,2.41,2.18,0.96,0.93,0.73,0.63,0.49,0.71,0.51,0.61,0.6,0.6
h_0,2.23,2.07,2.04,2.06,1.93,1.47,0.93,0.92,0.75,0.72,0.62,0.67,0.69,0.66,0.58,0.61
g_0,2.45,2.18,2.26,2.29,2.04,1.93,0.84,0.91,0.83,0.81,0.75,0.79,0.71,0.52,0.67,0.67
e_0,2.86,2.34,2.05,2.39,2.07,1.93,0.89,0.95,0.75,0.76,0.89,0.44,0.82,0.68,0.58,0.5
