,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.04,1.61,1.51,1.41,1.36,1.19,0.45,0.48,0.53,0.42,0.43,0.47,0.29,0.37,0.36,0.33
e_1,1.14,1.04,1.76,1.52,1.53,1.28,0.58,0.58,0.59,0.49,0.44,0.51,0.36,0.39,0.53,0.38
c_1,1.73,1.41,1.05,1.77,1.75,1.35,0.62,0.36,0.53,0.48,0.42,0.43,0.39,0.4,0.43,0.34
d_1,1.77,1.93,1.66,1.04,1.65,1.15,0.55,0.61,0.42,0.53,0.5,0.4,0.34,0.41,0.39,0.25
b_1,2.13,1.72,1.2,1.95,1.05,2.0,0.78,0.55,0.66,0.67,0.73,0.54,0.42,0.47,0.48,0.4
a_1,2.88,2.43,2.26,2.73,1.43,1.06,1.16,0.82,1.05,0.76,1.11,0.79,0.66,0.8,0.64,0.55
h_1,4.78,4.27,4.46,4.63,4.06,3.3,1.25,1.38,1.69,1.36,1.27,1.29,1.11,1.05,1.07,1.08
d_0,4.6,3.52,5.86,5.33,4.91,3.82,1.9,1.33,1.73,1.33,1.37,1.26,1.15,1.27,1.28,1.19
g_1,5.9,5.29,5.58,5.48,5.11,3.48,1.66,1.73,1.26,1.62,1.49,1.54,1.04,1.24,1.33,1.29
c_0,5.85,5.82,7.56,3.68,5.29,4.29,2.07,2.24,1.69,1.33,1.69,1.47,1.38,1.47,1.36,1.23
b_0,5.86,6.25,7.94,4.89,6.75,4.19,2.16,1.93,2.05,1.21,1.31,1.74,1.47,1.64,1.26,1.38
f_0,7.55,6.46,6.56,6.89,5.35,4.69,2.2,2.23,1.58,1.9,1.77,1.37,1.37,1.49,1.73,1.06
h_0,7.18,7.8,6.97,6.56,6.52,4.74,2.59,2.3,2.8,1.86,1.92,1.81,1.81,1.69,1.7,1.53
a_0,7.69,7.74,7.92,7.03,7.91,6.81,2.79,2.46,2.98,1.9,1.45,2.17,1.67,1.45,2.0,1.42
e_0,9.68,8.24,7.45,7.39,6.88,6.58,2.9,2.46,2.22,2.13,2.19,1.34,1.8,1.77,1.42,1.68
g_0,8.74,7.96,8.79,9.03,8.13,6.19,2.47,2.54,3.15,2.41,2.26,2.43,1.62,2.2,2.0,1.83
