,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,3.75,0.42,0.36,0.42,0.39,0.35,0.7,0.69,0.74,1.68,0.83,0.88,0.81,0.78,0.28,0.74
f_1,0.64,3.79,0.44,0.4,0.4,0.38,0.71,0.62,0.73,0.69,0.79,0.11,0.82,0.81,0.57,0.7
d_1,0.36,0.47,3.92,0.27,0.4,0.39,0.85,0.83,1.47,0.16,0.89,0.91,0.8,0.85,0.77,0.91
c_1,0.43,0.32,0.4,4.66,0.72,0.35,0.68,0.68,0.08,0.92,0.84,0.84,0.62,0.83,0.83,1.02
b_1,0.41,0.37,0.47,0.33,5.08,0.81,0.68,0.72,0.72,0.67,0.14,0.83,0.49,1.03,0.79,0.84
a_1,0.38,0.42,0.32,0.46,0.35,7.26,0.8,0.68,0.95,0.72,0.79,0.87,0.26,0.91,0.64,0.96
h_1,0.6,1.0,0.72,0.7,0.5,0.63,4.7,1.56,1.36,1.17,1.38,1.49,1.6,0.48,1.46,1.37
g_1,0.64,0.63,1.0,0.76,0.53,0.54,1.1,5.46,1.45,1.25,1.13,2.09,1.15,1.45,1.83,0.63
c_0,0.71,0.69,0.8,0.37,0.68,0.47,1.48,1.53,3.98,1.36,2.5,1.92,1.43,1.62,1.78,1.87
d_0,0.7,0.61,0.2,1.68,0.68,0.56,1.21,1.44,1.01,3.94,1.45,1.65,1.27,1.84,1.57,1.58
b_0,0.68,0.79,0.69,0.83,0.23,0.48,1.64,1.44,1.24,1.27,4.33,1.52,3.91,1.95,2.04,2.05
f_0,0.63,0.21,0.84,0.82,0.66,0.73,1.49,1.32,1.69,1.5,2.18,4.68,1.97,1.97,3.6,1.85
a_0,0.73,0.82,0.89,0.73,0.49,0.22,1.44,1.45,1.54,1.02,1.55,1.82,5.58,1.89,1.69,1.48
h_0,0.55,1.03,0.79,0.66,0.68,0.53,0.56,1.66,1.44,1.51,1.28,1.04,1.73,0.62,1.76,2.0
e_0,0.34,1.1,0.67,0.66,0.74,0.85,1.58,1.18,1.32,1.39,1.4,1.01,1.58,1.98,7.02,1.9
g_0,0.53,0.69,0.98,0.72,0.7,0.47,1.43,0.72,1.7,1.06,1.75,1.98,1.77,1.67,1.54,
