,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,9.96,0.73,0.58,1.01,0.73,0.65,0.88,0.95,0.77,2.55,1.0,1.11,1.03,1.01,0.83,0.82
f_1,1.79,10.36,0.63,0.67,0.6,0.68,0.82,0.85,0.72,0.93,1.0,0.59,0.94,0.89,0.58,0.85
d_1,0.61,0.73,13.0,0.5,0.74,0.65,1.03,1.07,2.81,0.62,1.18,0.99,1.01,1.03,1.07,1.14
c_1,0.64,0.62,0.74,12.4,1.65,0.78,0.82,0.71,0.47,0.82,0.72,0.92,0.84,0.82,0.86,1.01
b_1,0.55,0.66,0.68,0.66,13.02,1.94,1.02,0.85,0.82,0.76,0.51,1.0,0.63,1.03,0.99,0.88
a_1,0.66,0.67,0.72,0.84,0.66,18.44,1.04,1.0,0.94,0.85,0.94,0.94,0.75,1.06,0.96,0.96
h_1,0.69,1.41,1.04,0.71,0.45,0.65,2.95,1.51,1.14,0.76,1.11,1.12,1.05,0.83,1.1,1.53
g_1,0.62,0.73,1.64,0.9,0.65,0.62,0.93,3.33,1.15,1.03,1.1,1.77,1.03,1.18,1.37,0.9
c_0,0.79,0.86,1.03,0.6,0.65,0.56,1.19,1.18,2.37,0.88,2.92,1.25,1.47,1.12,1.43,1.24
d_0,0.69,0.81,0.5,3.48,0.79,0.58,0.95,1.03,0.52,2.01,0.94,1.04,1.0,1.09,1.08,1.0
b_0,0.72,0.97,0.97,0.79,0.51,0.51,1.33,1.17,1.1,0.94,2.4,1.13,3.48,1.38,1.28,1.25
f_0,0.53,0.87,0.99,0.86,0.71,0.74,1.27,1.22,1.14,1.03,1.57,2.33,1.43,1.31,3.97,1.54
a_0,0.72,0.99,0.86,0.91,0.73,0.56,1.35,1.09,1.32,0.86,1.37,1.41,2.4,1.56,1.26,0.99
h_0,0.63,1.27,1.07,0.84,0.86,0.56,0.82,1.48,0.98,0.89,0.97,0.99,1.21,0.67,1.15,1.41
e_0,0.57,1.17,0.81,0.68,0.85,0.88,1.33,1.15,1.11,0.72,1.3,1.02,1.38,1.45,3.9,1.33
g_0,0.51,0.74,1.59,0.7,0.76,0.65,1.09,0.86,1.2,0.61,1.33,2.05,1.48,1.15,1.35,1.11
