,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,5.9,2.27,1.94,2.89,2.23,2.08,7.91,8.57,8.98,18.39,11.48,11.95,11.92,15.9,8.7,13.93
f_1,3.52,5.96,2.11,2.24,2.14,2.08,7.15,7.43,8.76,10.0,10.92,6.67,10.41,14.35,6.44,14.12
d_1,2.14,2.35,6.18,1.69,2.46,2.11,8.39,8.52,18.83,6.61,11.93,11.56,11.46,16.45,12.13,18.37
c_1,2.16,2.12,2.33,7.28,3.89,2.35,7.17,6.88,4.64,9.88,8.95,10.11,10.38,13.48,10.33,16.16
b_1,2.05,2.17,2.15,2.15,7.97,4.75,8.26,7.71,9.41,9.48,5.4,11.17,7.13,16.97,10.74,14.69
a_1,2.24,2.3,2.19,2.49,2.14,11.25,8.93,8.96,10.9,10.14,10.05,10.97,8.24,18.2,11.06,16.49
h_1,2.19,3.53,2.78,2.41,1.8,2.26,16.39,11.72,11.7,9.2,11.59,12.44,12.82,13.33,12.55,23.15
g_1,2.26,2.31,3.49,2.66,2.12,2.13,8.51,18.65,12.02,11.25,11.8,17.39,11.64,19.55,14.46,14.1
c_0,2.48,2.74,2.8,2.0,2.24,1.97,9.83,9.85,19.02,10.26,22.12,14.45,15.32,19.91,14.94,20.02
d_0,2.35,2.49,1.6,5.09,2.51,1.92,8.21,8.92,7.11,18.46,11.21,12.44,12.04,19.33,12.61,17.98
b_0,2.3,2.79,2.92,2.55,1.61,1.69,10.96,9.91,10.64,10.22,20.61,13.34,27.84,20.96,14.25,20.77
f_0,2.0,2.59,2.58,2.65,2.36,2.31,10.04,8.78,12.31,11.93,15.37,21.98,15.82,20.58,29.86,23.35
a_0,2.33,2.54,2.7,2.67,2.41,1.87,10.97,8.88,13.17,9.82,13.58,15.05,24.45,23.19,14.63,16.87
h_0,2.05,3.33,2.81,2.65,2.67,2.16,7.06,11.61,11.34,10.9,10.85,10.59,13.8,12.18,13.28,21.67
e_0,1.71,3.27,2.44,2.3,2.74,2.99,10.7,8.45,11.34,9.75,13.43,10.92,14.16,23.16,30.66,21.26
g_0,1.76,2.43,3.57,2.34,2.58,2.21,9.15,7.0,11.73,8.16,13.81,19.68,15.8,18.63,14.46,15.43
