,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.44,1.06,1.76,1.69,1.65,1.64,0.56,0.49,0.37,0.34,0.35,0.43,0.37,0.29,0.67,0.34
f_1,1.68,0.44,1.47,1.82,1.66,1.55,0.33,0.53,0.33,0.38,0.33,0.62,0.32,0.17,0.24,0.26
d_1,1.85,1.69,0.43,1.7,1.59,1.79,0.46,0.34,0.33,0.78,0.35,0.33,0.3,0.22,0.4,0.16
c_1,1.42,1.82,2.62,0.4,2.1,1.7,0.54,0.5,0.65,0.19,0.38,0.34,0.38,0.27,0.39,0.26
b_1,2.08,2.0,1.85,1.08,0.38,2.07,0.76,0.72,0.46,0.48,0.82,0.41,0.46,0.3,0.46,0.27
a_1,2.54,2.59,2.42,2.4,1.15,0.32,0.74,0.8,0.68,0.68,0.68,0.51,1.14,0.48,0.43,0.49
h_1,2.77,2.97,2.58,2.87,2.57,2.34,0.33,0.84,0.56,0.66,0.49,0.46,0.5,0.59,0.5,0.35
g_1,2.81,3.28,2.75,3.37,2.92,2.68,0.59,0.31,0.59,0.61,0.55,0.62,0.57,0.34,0.69,0.54
c_0,3.48,3.86,1.66,8.75,3.35,2.65,0.88,0.84,0.36,1.07,0.77,0.59,0.57,0.5,0.7,0.41
d_0,1.74,3.3,6.16,3.5,3.54,3.36,1.08,0.87,0.8,0.36,0.76,0.65,0.77,0.48,0.78,0.62
b_0,2.92,3.52,3.12,3.99,7.57,3.09,1.03,0.94,0.39,0.69,0.36,0.52,0.67,0.49,0.65,0.42
f_0,3.06,5.95,3.56,3.74,3.65,3.39,0.9,0.66,0.62,0.74,0.79,0.36,0.67,0.55,0.96,0.32
a_0,3.71,4.24,3.55,4.2,6.29,5.55,1.05,1.27,0.72,0.89,0.36,0.69,0.34,0.48,0.8,0.38
h_0,3.79,4.36,3.87,4.65,3.81,3.35,1.87,1.1,0.77,0.8,0.68,0.65,0.65,0.93,0.66,0.53
e_0,6.5,6.65,3.48,4.34,4.61,4.66,1.25,0.97,0.8,0.99,0.8,0.36,0.73,0.48,0.29,0.59
g_0,5.44,5.08,4.01,4.32,4.63,4.15,1.11,1.72,0.87,0.94,0.82,0.76,1.0,0.53,0.72,0.92
