,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.06,1.45,2.38,2.43,2.09,2.03,0.97,0.83,0.77,0.7,0.65,0.72,0.65,0.54,0.72,0.54
f_1,2.62,1.06,2.06,2.42,1.83,1.82,0.6,1.01,0.68,0.64,0.64,0.91,0.54,0.37,0.5,0.44
d_1,2.52,2.67,1.06,2.13,2.22,2.04,0.89,0.61,1.13,0.8,0.78,0.62,0.65,0.52,0.66,0.35
c_1,1.99,2.51,2.94,1.06,3.0,2.1,0.99,0.82,0.48,0.92,0.69,0.62,0.67,0.5,0.55,0.5
b_1,3.0,3.27,2.86,1.58,1.07,2.64,1.13,1.15,0.82,0.86,1.26,0.98,0.59,0.74,0.79,0.71
a_1,3.67,4.04,3.78,4.09,2.14,1.07,1.65,1.77,1.09,1.14,1.33,0.83,2.54,0.93,0.91,1.14
h_1,5.79,6.9,5.44,5.91,5.74,4.56,1.34,2.25,1.72,1.81,1.76,1.87,1.49,1.94,1.38,1.5
g_1,6.91,7.99,6.9,6.66,5.6,4.61,2.04,1.34,2.25,2.03,2.16,2.13,1.9,1.63,1.62,1.74
d_0,4.43,7.53,8.65,8.82,7.38,7.37,2.91,2.49,1.54,2.01,2.09,1.65,1.93,1.67,1.9,1.61
c_0,7.23,7.66,4.31,12.83,9.55,6.02,2.97,2.78,3.03,1.51,2.4,1.96,2.05,1.92,1.96,1.38
b_0,8.02,7.88,5.92,9.33,11.67,5.52,2.8,2.79,2.35,1.3,1.46,2.01,2.24,1.9,1.9,1.57
f_0,8.68,15.93,7.78,10.1,8.3,8.39,3.2,2.25,2.99,2.39,2.27,1.52,2.16,2.5,2.64,1.28
a_0,8.71,11.3,9.42,9.05,12.51,7.94,3.55,3.15,2.84,2.38,1.79,2.43,1.67,2.27,2.86,2.28
h_0,9.03,12.16,9.85,9.82,8.17,6.7,4.93,3.19,2.92,2.51,2.69,2.25,2.38,3.03,2.63,2.25
e_0,17.62,15.33,9.94,11.43,10.52,8.63,4.13,4.24,3.43,2.98,3.36,1.63,2.25,2.02,1.62,2.11
g_0,14.04,13.4,11.92,13.35,10.7,8.87,3.56,6.33,3.71,3.66,3.76,3.55,2.64,2.13,2.81,3.14
