,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,5.86,2.3,1.96,2.94,2.23,2.16,7.88,7.77,17.82,9.56,10.17,10.04,13.08,17.18,7.29,13.4
f_1,3.53,6.08,2.18,2.21,1.96,1.95,7.66,6.42,9.92,9.56,10.19,6.25,10.53,14.01,8.58,13.69
d_1,1.95,2.28,6.61,1.78,2.11,2.22,8.7,9.1,7.14,18.99,12.85,11.47,11.53,15.9,12.54,19.04
c_1,2.08,2.18,2.12,6.86,4.05,2.1,8.19,7.58,8.98,5.09,6.69,10.14,10.79,14.55,10.89,13.86
b_1,2.07,2.24,2.23,2.11,7.68,4.27,7.87,7.91,9.5,7.94,6.12,11.16,7.55,17.19,10.27,17.36
a_1,2.34,2.3,2.1,2.22,2.13,11.16,8.8,8.87,9.1,10.36,10.38,10.54,9.37,17.01,14.01,18.86
h_1,2.33,3.22,2.69,2.55,2.19,1.78,17.68,12.25,10.47,10.85,10.03,11.83,12.39,11.22,13.28,23.81
g_1,2.09,1.86,3.75,2.69,2.24,2.07,8.76,20.62,11.44,10.69,10.58,17.44,11.67,19.58,13.84,12.73
d_0,2.42,2.27,1.82,4.37,2.53,2.39,9.1,9.06,17.38,8.38,9.73,11.48,11.69,17.94,13.47,15.92
c_0,2.66,2.49,2.65,2.01,2.22,2.24,8.96,9.18,12.09,19.28,22.77,15.04,17.76,21.23,13.57,20.21
b_0,2.53,2.55,2.4,2.9,1.83,1.93,9.17,9.32,12.77,11.17,20.83,13.2,26.05,19.4,13.94,18.24
f_0,1.89,1.95,2.71,2.62,2.29,3.13,8.72,9.97,14.5,13.57,11.49,24.79,16.56,20.93,29.65,22.08
a_0,2.56,2.87,2.65,2.36,2.55,1.85,9.87,8.75,11.37,11.64,12.06,13.34,23.06,19.39,15.36,18.24
h_0,2.28,3.41,2.74,2.6,2.21,2.35,6.41,9.59,10.45,10.66,11.48,10.01,10.81,12.99,14.83,22.4
e_0,1.91,2.82,2.56,2.56,2.46,2.52,10.69,9.75,9.98,10.92,11.04,12.32,12.44,19.07,27.8,21.59
g_0,1.88,2.5,4.09,2.33,2.21,2.1,8.42,8.06,9.03,13.55,10.99,18.77,11.76,16.93,14.53,15.72
