,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,0.88,0.1,0.09,0.06,0.06,0.05,0.07,0.16,0.07,0.07,0.07,0.06,0.07,0.05,0.07,0.01
f_1,0.16,0.88,0.08,0.08,0.07,0.06,0.08,0.07,0.04,0.08,0.01,0.06,0.06,0.04,0.05,0.03
c_1,0.09,0.08,0.87,0.08,0.13,0.05,0.07,0.09,0.05,0.01,0.08,0.05,0.09,0.04,0.07,0.04
d_1,0.08,0.1,0.06,0.88,0.06,0.05,0.08,0.03,0.07,0.14,0.07,0.07,0.09,0.04,0.08,0.04
b_1,0.09,0.07,0.07,0.07,0.87,0.12,0.08,0.07,0.07,0.06,0.08,0.02,0.09,0.04,0.05,0.04
a_1,0.08,0.08,0.09,0.1,0.08,0.87,0.08,0.07,0.06,0.08,0.08,0.07,0.07,0.01,0.06,0.05
h_1,0.12,0.19,0.15,0.17,0.11,0.08,0.53,0.16,0.14,0.13,0.13,0.11,0.04,0.08,0.13,0.08
d_0,0.17,0.15,0.3,0.05,0.12,0.07,0.15,0.4,0.08,0.11,0.12,0.1,0.12,0.09,0.09,0.09
g_1,0.14,0.14,0.16,0.21,0.11,0.11,0.13,0.13,0.51,0.09,0.17,0.09,0.12,0.08,0.03,0.06
c_0,0.17,0.16,0.07,0.19,0.12,0.07,0.17,0.15,0.11,0.39,0.14,0.23,0.13,0.08,0.12,0.07
f_0,0.15,0.1,0.17,0.17,0.1,0.07,0.17,0.16,0.14,0.13,0.36,0.14,0.15,0.11,0.12,0.17
b_0,0.16,0.2,0.15,0.14,0.05,0.05,0.19,0.19,0.11,0.16,0.13,0.4,0.15,0.19,0.11,0.08
h_0,0.12,0.25,0.12,0.15,0.13,0.08,0.06,0.14,0.13,0.14,0.11,0.12,0.05,0.09,0.14,0.06
a_0,0.18,0.2,0.14,0.15,0.1,0.03,0.16,0.19,0.09,0.12,0.15,0.14,0.15,0.37,0.11,0.1
g_0,0.16,0.13,0.11,0.22,0.14,0.06,0.12,0.14,0.06,0.14,0.19,0.12,0.11,0.09,0.05,0.11
e_0,0.07,0.16,0.16,0.17,0.15,0.05,0.19,0.18,0.13,0.19,0.14,0.12,0.15,0.12,0.13,0.35
