,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,0.42,2.24,3.44,3.57,3.53,3.46,1.99,1.89,1.82,1.68,1.84,1.59,1.47,1.67,1.48,
f_1,4.36,0.41,3.73,3.19,4.27,4.91,1.65,1.67,2.18,1.79,,1.52,0.85,1.24,1.31,1.29
c_1,3.36,3.44,0.39,3.91,4.35,3.29,1.69,1.03,1.76,,1.48,1.78,1.56,1.83,1.75,1.51
d_1,4.49,4.11,3.66,0.39,3.53,3.15,1.7,,1.39,1.8,1.66,1.54,1.24,1.53,0.98,1.68
b_1,3.75,3.56,2.3,3.65,0.37,4.37,2.0,1.51,1.98,1.49,2.38,,1.37,,1.02,1.49
a_1,3.93,2.69,4.2,3.94,2.07,0.32,1.9,1.53,1.37,2.44,1.65,,1.61,,1.59,
h_1,2.49,1.76,1.95,1.79,1.86,1.9,0.27,0.75,1.04,0.78,0.66,0.68,,0.67,0.76,0.9
d_0,1.0,1.67,1.9,,2.19,1.82,0.79,0.3,0.91,0.75,0.7,0.73,0.59,0.63,0.7,0.65
g_1,1.71,2.08,2.06,1.94,1.57,1.98,0.77,0.91,0.24,0.91,0.78,0.97,0.51,,,
c_0,1.64,1.38,,1.07,1.95,1.27,0.88,0.85,1.07,0.28,0.82,0.96,0.54,0.76,0.57,0.52
f_0,1.51,,1.44,1.8,1.31,1.49,0.89,0.68,0.71,0.66,0.27,0.78,0.97,0.63,0.4,0.84
b_0,1.93,1.9,1.71,1.89,,,0.87,0.75,0.83,0.39,0.68,0.25,0.58,0.94,0.66,
h_0,1.3,1.64,1.09,1.24,0.98,1.29,,0.68,0.83,0.54,0.43,0.53,,0.52,0.67,0.57
a_0,1.76,2.3,2.13,1.93,,,1.18,0.66,,0.8,0.7,0.43,0.6,0.21,0.57,
g_0,1.12,1.47,1.03,1.2,1.53,1.38,0.59,0.62,,0.59,0.84,0.59,0.39,0.65,,0.64
e_0,,1.83,1.97,1.58,1.83,,0.76,0.71,,0.96,0.39,,0.71,,0.45,0.21
