,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.39,1.36,1.25,1.81,1.59,1.52,2.98,2.84,5.02,3.11,3.23,3.3,4.27,3.22,2.81,3.94
f_1,2.08,2.42,1.3,1.57,1.55,1.19,2.44,2.56,3.28,2.99,3.23,2.43,3.79,2.8,2.13,4.24
d_1,1.57,1.67,2.6,1.2,1.23,1.45,2.97,2.7,2.5,5.18,3.74,3.33,4.17,3.88,3.74,3.5
c_1,1.27,1.37,1.55,2.63,2.31,1.4,2.91,2.61,2.69,1.96,2.61,3.39,3.7,3.15,4.02,3.71
b_1,1.33,1.42,1.7,1.46,2.75,2.54,2.75,3.3,2.89,3.05,2.59,3.4,3.76,2.85,3.37,3.97
a_1,1.48,1.66,1.57,1.54,1.3,3.43,3.09,2.64,3.39,3.59,3.5,3.56,4.72,2.47,3.51,4.67
h_1,1.41,1.95,1.6,1.51,1.43,1.56,4.17,3.88,2.69,3.09,3.39,3.41,3.47,3.52,3.62,5.0
g_1,1.25,1.61,2.23,1.59,1.24,1.51,2.6,4.67,2.76,3.38,3.5,4.67,3.71,3.28,4.3,3.54
d_0,1.31,1.55,1.23,2.42,1.82,1.42,3.46,3.23,4.2,2.46,3.5,3.26,3.95,3.68,3.55,4.22
c_0,1.56,1.88,1.4,1.58,1.34,1.42,3.38,3.15,3.43,4.33,5.43,3.37,4.47,4.21,4.1,4.26
b_0,1.64,1.72,1.51,1.61,1.2,1.48,3.08,3.19,3.42,2.81,4.51,2.78,4.22,6.21,3.26,4.44
f_0,1.29,1.47,1.88,1.43,1.58,1.56,3.16,2.79,3.25,3.77,4.09,4.67,4.66,3.84,6.37,4.47
h_0,1.52,1.9,1.61,1.57,1.62,1.24,2.51,3.58,3.47,3.23,3.14,3.17,3.54,2.69,3.25,5.26
a_0,1.65,1.85,1.65,1.46,1.42,1.34,2.79,3.19,2.92,3.5,2.84,3.03,5.04,5.37,3.83,4.39
e_0,1.28,2.08,1.52,1.39,1.74,1.66,3.23,2.97,3.14,3.31,3.97,2.83,4.98,3.41,5.32,4.1
g_0,1.49,1.46,2.13,1.6,1.42,1.44,2.91,2.83,3.12,3.25,3.44,4.31,3.74,3.69,4.04,3.83
