,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.66,0.76,0.97,1.21,1.13,0.95,0.54,0.54,0.49,0.4,0.37,0.46,0.33,0.35,0.44,0.3
f_1,1.17,0.66,0.97,1.14,1.08,0.85,0.38,0.46,0.41,0.34,0.36,0.42,0.25,0.32,0.26,0.33
d_1,1.31,1.32,0.63,1.04,0.95,0.94,0.49,0.35,0.57,0.45,0.41,0.34,0.33,0.38,0.39,0.23
c_1,0.96,1.08,1.41,0.63,1.11,1.0,0.52,0.48,0.28,0.43,0.38,0.45,0.32,0.43,0.43,0.33
b_1,1.11,1.17,1.42,0.77,0.62,1.25,0.55,0.65,0.38,0.5,0.56,0.47,0.33,0.42,0.37,0.38
a_1,1.38,1.73,1.46,1.46,0.82,0.56,0.63,0.64,0.59,0.6,0.59,0.51,0.53,0.62,0.46,0.44
h_1,1.66,2.0,1.64,1.68,1.66,1.46,0.55,0.87,0.56,0.57,0.6,0.61,0.57,0.62,0.53,0.51
g_1,1.87,2.18,1.99,1.87,1.55,1.75,0.65,0.52,0.68,0.65,0.65,0.71,0.45,0.6,0.69,0.55
d_0,1.3,1.89,2.36,2.27,2.03,1.61,1.07,0.97,0.58,0.65,0.74,0.72,0.53,0.84,0.65,0.59
c_0,2.06,2.23,1.23,2.9,1.92,1.67,0.94,0.82,0.98,0.57,0.85,0.7,0.59,0.71,0.68,0.58
b_0,2.01,2.18,1.69,2.31,2.19,1.81,0.91,0.86,0.77,0.46,0.57,0.63,0.62,0.89,0.57,0.61
f_0,2.05,2.51,1.93,1.88,1.98,1.55,0.89,0.63,0.77,0.79,0.93,0.55,0.62,0.78,0.81,0.45
h_0,2.21,2.36,2.14,2.27,2.32,1.64,1.18,1.03,0.85,0.75,0.76,0.71,0.77,0.65,0.63,0.7
a_0,2.4,2.68,2.04,2.25,2.41,2.79,1.04,1.05,0.83,0.74,0.5,0.73,0.81,0.52,0.72,0.62
e_0,2.71,4.14,2.21,1.91,2.29,2.15,1.03,0.92,0.84,0.77,0.94,0.51,0.75,0.68,0.54,0.61
g_0,2.49,2.3,2.69,2.6,2.38,1.89,0.95,1.21,0.92,0.9,0.89,0.82,0.54,0.8,0.84,0.76
