,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.84,1.21,1.73,1.95,2.8,21.98,33.39,35.0,34.78,43.35,53.06,78.51,97.29,108.8,112.31
f_1,1.18,1.0,1.09,1.34,1.47,2.75,16.66,23.82,30.61,31.77,38.52,44.98,57.94,76.1,79.8,98.88
d_1,0.82,0.93,1.0,0.99,1.1,2.34,16.38,19.57,19.35,35.3,36.62,35.41,62.79,63.56,80.47,69.06
c_1,0.58,0.73,1.0,1.0,1.52,2.18,14.89,12.82,24.66,20.05,27.98,33.01,52.54,55.18,71.38,76.74
b_1,0.51,0.67,0.9,0.66,1.0,3.01,13.36,13.81,20.23,25.35,26.64,29.05,44.97,46.71,61.06,73.17
a_1,0.35,0.36,0.42,0.45,0.34,1.0,7.89,8.46,10.89,11.05,14.18,14.98,24.92,26.5,39.96,37.46
h_1,0.05,0.06,0.06,0.07,0.08,0.13,1.0,1.12,1.75,1.53,1.87,2.14,3.6,3.59,4.59,5.93
d_0,0.03,0.04,0.05,0.08,0.07,0.12,0.83,1.0,1.37,1.06,1.61,1.88,3.31,3.18,4.34,4.85
g_1,0.03,0.03,0.05,0.04,0.05,0.09,0.56,0.73,1.0,1.15,1.2,1.71,2.12,2.65,3.44,3.5
c_0,0.03,0.03,0.03,0.05,0.04,0.09,0.65,0.94,0.88,1.0,1.58,1.36,2.39,2.74,3.03,3.36
b_0,0.02,0.03,0.03,0.04,0.04,0.06,0.54,0.61,0.83,0.64,1.0,1.02,2.04,2.52,2.6,2.79
f_0,0.02,0.02,0.03,0.03,0.03,0.07,0.48,0.56,0.59,0.75,0.91,1.0,1.84,1.68,3.05,2.03
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.27,0.31,0.48,0.44,0.48,0.54,1.0,0.9,1.18,1.66
a_0,0.01,0.01,0.02,0.02,0.02,0.04,0.28,0.31,0.36,0.36,0.41,0.59,1.09,1.0,1.28,1.27
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.22,0.23,0.28,0.33,0.37,0.32,0.8,0.76,1.0,1.12
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.2,0.26,0.3,0.36,0.49,0.6,0.76,0.88,1.0
