,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.0,0.78,0.63,0.97,0.79,0.73,0.9,0.97,1.53,0.91,0.95,1.02,1.03,0.93,0.69,0.99
f_1,1.22,2.07,0.78,0.74,0.65,0.61,0.9,0.82,0.89,0.86,0.91,0.56,0.97,0.92,0.65,0.82
d_1,0.78,0.8,2.29,0.58,0.72,0.68,0.89,0.97,0.58,1.71,1.29,0.9,1.02,1.08,1.06,0.91
c_1,0.62,0.73,0.7,2.36,1.35,0.75,0.99,0.78,0.92,0.5,0.71,0.97,0.93,0.92,0.94,1.01
b_1,0.68,0.85,0.73,0.76,2.41,1.35,0.99,0.89,0.89,0.81,0.56,1.01,0.9,0.68,1.1,0.87
a_1,0.78,0.79,0.83,0.82,0.6,3.4,1.02,1.1,1.05,0.98,1.11,1.13,1.03,0.87,1.07,1.16
h_1,0.74,1.08,1.01,0.74,0.82,0.61,2.1,1.38,0.91,0.91,0.94,1.05,0.75,0.89,1.02,1.47
g_1,0.72,0.73,1.38,0.72,0.78,0.62,0.98,2.4,0.88,1.06,1.01,1.66,0.95,1.05,1.2,0.88
d_0,0.75,0.8,0.48,1.54,0.82,0.91,1.05,1.01,1.63,0.71,1.04,1.07,1.09,0.99,1.05,0.93
c_0,0.86,0.98,0.91,0.64,0.57,0.79,1.02,1.11,1.05,1.83,2.09,1.07,1.22,1.53,1.07,1.21
b_0,0.94,0.9,0.9,0.9,0.57,0.61,0.98,1.14,1.12,1.22,1.94,1.18,1.29,2.17,1.17,1.19
f_0,0.7,0.67,1.01,0.89,0.81,0.81,1.19,1.1,1.07,1.01,1.08,1.87,1.17,1.09,2.39,1.24
h_0,0.91,1.12,0.93,0.8,0.74,0.66,0.82,1.3,0.89,1.09,0.89,1.08,0.83,1.14,0.95,1.54
a_0,0.89,0.97,0.99,0.75,0.74,0.62,1.17,1.06,0.97,1.08,1.23,1.1,1.26,2.45,1.18,1.1
e_0,0.6,0.91,1.14,0.76,0.77,0.86,1.24,1.06,0.97,1.1,1.28,1.34,1.15,1.21,2.57,1.45
g_0,0.74,0.72,1.32,0.88,0.84,0.7,0.99,0.82,0.79,1.14,1.12,1.75,1.21,1.03,1.33,0.9
