,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,11.83,0.66,0.51,0.95,0.71,0.66,0.87,0.96,2.03,0.87,0.93,1.02,1.04,0.91,0.65,0.99
f_1,1.5,11.89,0.68,0.64,0.54,0.54,0.86,0.77,0.85,0.81,0.88,0.48,0.96,0.9,0.61,0.78
d_1,0.66,0.69,15.45,0.46,0.61,0.61,0.86,0.96,0.49,2.43,1.44,0.87,1.03,1.09,1.08,0.89
c_1,0.47,0.6,0.58,14.83,1.71,0.69,0.98,0.73,0.88,0.41,0.65,0.95,0.91,0.9,0.93,1.01
b_1,0.53,0.76,0.62,0.67,14.17,1.54,0.98,0.85,0.84,0.75,0.48,1.01,0.86,0.64,1.12,0.84
a_1,0.66,0.68,0.74,0.73,0.49,21.26,1.03,1.14,1.07,0.97,1.15,1.19,1.04,0.84,1.09,1.21
h_1,0.61,1.16,1.02,0.64,0.74,0.54,3.86,1.58,0.87,0.88,0.92,1.06,0.69,0.87,1.02,1.68
g_1,0.58,0.6,1.83,0.62,0.69,0.55,0.97,4.58,0.84,1.09,1.01,2.17,0.94,1.06,1.26,0.85
d_0,0.63,0.7,0.36,2.31,0.74,0.88,1.07,1.01,2.29,0.63,1.06,1.1,1.12,0.99,1.06,0.92
c_0,0.77,0.97,0.86,0.53,0.46,0.74,1.03,1.15,1.07,2.82,3.41,1.1,1.33,1.74,1.09,1.29
b_0,0.89,0.84,0.85,0.85,0.45,0.53,0.98,1.2,1.18,1.34,2.93,1.26,1.44,2.95,1.21,1.25
f_0,0.56,0.54,1.01,0.83,0.73,0.76,1.29,1.13,1.11,1.02,1.12,2.73,1.25,1.12,3.47,1.33
h_0,0.85,1.24,0.88,0.71,0.64,0.59,0.76,1.44,0.85,1.13,0.85,1.11,0.78,1.17,0.93,1.81
a_0,0.81,0.94,0.99,0.66,0.65,0.54,1.26,1.08,0.95,1.12,1.34,1.14,1.39,3.64,1.23,1.12
e_0,0.45,0.85,1.26,0.67,0.67,0.82,1.37,1.08,0.96,1.15,1.42,1.52,1.22,1.27,3.97,1.64
g_0,0.6,0.59,1.66,0.82,0.77,0.63,0.99,0.77,0.72,1.22,1.18,2.4,1.31,1.04,1.44,0.88
