,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.12,2.27,4.62,4.94,4.91,4.93,1.34,0.93,1.61,0.99,0.84,1.2,0.61,0.94,0.8,1.92
f_1,4.26,1.12,4.04,4.61,4.97,4.42,0.94,0.99,1.4,0.79,0.87,1.85,0.51,0.8,0.76,0.82
d_1,5.81,5.01,1.12,4.88,4.27,4.23,1.29,2.51,0.84,1.0,1.21,0.81,0.72,0.87,0.41,0.73
c_1,4.1,5.22,5.83,1.12,4.95,4.05,1.51,0.54,1.32,1.44,0.9,0.85,0.59,1.06,0.71,0.87
b_1,5.35,6.65,5.48,3.03,1.12,4.99,1.83,1.25,1.65,1.3,1.99,1.14,0.75,1.34,0.84,1.33
a_1,7.05,10.9,8.42,7.92,3.87,1.14,2.5,1.78,3.39,1.56,3.07,1.76,1.61,5.83,1.23,1.67
h_1,14.16,18.61,13.74,15.69,16.65,15.19,1.74,3.63,4.65,3.53,2.7,3.1,3.63,2.73,2.74,3.24
d_0,10.82,16.62,27.48,19.64,19.74,16.57,4.67,2.16,5.92,3.36,4.1,4.08,2.94,3.51,3.61,3.91
g_1,19.3,22.83,20.91,21.58,21.75,21.33,4.19,4.47,1.76,3.65,3.68,3.56,2.13,3.61,4.42,4.2
c_0,19.51,20.88,11.96,43.16,22.92,18.74,5.83,6.26,5.87,2.28,4.66,4.6,3.32,4.08,2.97,4.2
b_0,20.6,23.78,19.44,31.54,36.34,22.03,7.51,4.65,5.92,2.41,2.18,4.64,3.19,4.03,3.13,4.0
f_0,24.61,46.9,21.31,27.33,19.35,21.56,6.81,5.36,3.72,4.69,4.33,2.24,3.19,3.95,2.2,4.05
h_0,29.57,31.41,26.18,28.28,32.39,27.85,12.56,5.89,8.05,5.25,5.06,5.34,6.63,4.68,4.66,5.31
a_0,29.57,32.0,29.17,41.52,50.51,47.74,8.55,8.03,8.49,5.74,3.28,5.56,4.8,2.43,5.9,5.76
g_0,39.43,40.76,31.97,36.04,37.72,32.87,5.83,8.84,14.6,7.14,8.2,5.8,4.49,5.83,5.8,6.54
e_0,60.11,69.88,31.97,32.16,33.11,30.85,9.57,8.32,10.13,7.14,8.45,2.97,4.54,6.89,4.42,2.62
