,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.99,0.76,1.16,0.64,0.74,0.66,0.89,0.89,0.91,0.95,1.04,0.5,0.97,0.98,0.79,0.93
c_1,0.74,2.18,0.67,1.34,0.74,0.66,0.81,0.93,0.43,0.93,0.58,0.9,0.8,0.93,0.89,0.93
e_1,0.86,0.96,2.18,0.74,0.59,0.6,1.04,1.68,0.93,0.88,1.02,0.96,0.99,1.02,0.51,0.98
b_1,0.75,0.74,0.68,2.28,0.77,1.36,1.0,0.82,0.86,0.94,0.6,0.95,0.72,0.88,1.12,0.86
d_1,0.72,0.53,0.77,0.68,2.47,0.8,0.94,0.63,1.8,0.96,1.32,1.28,1.12,1.04,1.13,1.1
a_1,0.81,0.76,0.8,0.66,0.88,3.32,0.99,0.82,0.9,0.89,1.03,1.09,0.57,0.93,1.06,1.02
h_1,1.06,0.99,0.77,0.76,0.89,0.69,2.23,0.96,0.95,1.33,1.03,0.99,1.04,0.8,0.94,1.37
d_0,0.89,1.47,0.74,0.92,0.54,0.57,1.03,1.52,0.69,0.92,0.81,1.05,0.99,1.24,1.23,1.0
c_0,0.87,0.67,0.85,0.62,0.96,0.8,1.14,1.04,1.92,1.03,2.16,1.3,1.62,1.25,1.32,1.12
g_1,0.79,0.83,0.74,0.74,1.41,0.63,0.84,0.82,1.14,2.58,1.03,1.53,1.11,1.13,1.05,0.8
b_0,0.99,0.92,0.79,0.52,0.92,0.63,1.13,1.13,1.21,1.07,2.0,1.09,2.57,1.18,1.17,1.21
f_0,0.8,0.95,0.71,0.86,0.86,0.87,1.15,1.17,1.25,0.96,1.11,2.1,1.26,1.16,2.18,1.13
a_0,1.04,0.96,0.91,0.76,0.81,0.59,1.12,1.17,0.95,1.15,1.22,1.09,2.47,1.37,1.23,1.03
h_0,1.2,0.86,0.73,0.82,0.9,0.76,0.69,1.05,0.91,1.36,1.09,1.0,1.2,0.81,1.24,1.34
e_0,1.04,0.81,0.51,0.84,0.99,0.82,1.23,0.81,1.1,1.04,1.1,1.12,1.25,1.22,2.55,1.33
g_0,0.74,0.79,0.64,0.78,1.32,0.89,1.17,1.0,1.2,0.72,1.18,1.74,1.12,1.23,1.57,0.96
