,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,11.84,0.65,1.3,0.52,0.65,0.59,0.85,0.85,0.88,0.93,1.06,0.44,0.96,0.97,0.76,0.91
c_1,0.61,14.01,0.55,1.72,0.65,0.58,0.76,0.9,0.35,0.91,0.51,0.87,0.77,0.91,0.87,0.91
e_1,0.77,0.94,13.22,0.63,0.47,0.53,1.06,2.48,0.9,0.85,1.02,0.95,0.99,1.03,0.47,0.98
b_1,0.62,0.62,0.56,13.43,0.68,1.56,1.0,0.75,0.82,0.93,0.54,0.94,0.67,0.84,1.14,0.83
d_1,0.58,0.4,0.66,0.57,17.35,0.74,0.92,0.54,2.64,0.94,1.47,1.39,1.15,1.05,1.17,1.14
a_1,0.7,0.65,0.7,0.55,0.83,21.41,0.99,0.76,0.86,0.86,1.03,1.11,0.52,0.9,1.07,1.03
h_1,1.11,0.98,0.66,0.65,0.83,0.62,4.19,0.95,0.93,1.48,1.04,0.98,1.05,0.75,0.92,1.54
d_0,0.81,2.21,0.63,0.87,0.43,0.5,1.04,2.02,0.61,0.9,0.77,1.07,0.99,1.35,1.29,1.0
c_0,0.78,0.54,0.77,0.5,0.93,0.75,1.2,1.06,3.04,1.04,3.45,1.42,1.88,1.38,1.41,1.17
g_1,0.68,0.74,0.63,0.63,1.85,0.56,0.79,0.76,1.21,4.95,1.04,1.82,1.13,1.18,1.06,0.76
b_0,0.99,0.86,0.69,0.4,0.88,0.56,1.19,1.21,1.32,1.1,2.93,1.12,4.0,1.27,1.21,1.28
f_0,0.69,0.92,0.58,0.79,0.8,0.82,1.22,1.28,1.39,0.95,1.15,3.1,1.34,1.24,2.84,1.17
a_0,1.08,0.93,0.85,0.65,0.73,0.51,1.18,1.27,0.93,1.21,1.31,1.13,3.7,1.58,1.29,1.05
h_0,1.44,0.78,0.61,0.73,0.85,0.7,0.61,1.07,0.88,1.53,1.12,1.0,1.25,0.76,1.3,1.49
e_0,1.07,0.72,0.38,0.76,0.98,0.77,1.35,0.75,1.15,1.06,1.13,1.15,1.33,1.33,3.69,1.48
g_0,0.61,0.68,0.51,0.69,1.63,0.85,1.25,1.0,1.3,0.67,1.26,2.22,1.15,1.34,1.77,0.94
