,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.06,2.11,2.04,1.87,1.92,1.61,0.61,0.6,0.57,0.78,0.57,0.64,0.44,0.35,0.41,0.49
c_1,2.12,1.06,1.69,2.44,2.99,1.84,0.68,0.42,0.78,0.77,0.5,0.5,0.56,0.45,0.53,0.48
e_1,1.62,2.56,1.06,2.21,1.89,1.87,0.9,0.84,0.66,0.81,0.64,0.75,0.52,0.57,0.76,0.54
b_1,2.75,1.42,2.26,1.06,2.37,2.47,0.97,0.66,0.87,0.98,0.89,0.65,0.64,0.52,0.59,0.5
d_1,2.4,2.13,3.0,2.22,1.06,1.77,0.81,1.06,0.78,0.54,0.67,0.71,0.74,0.58,0.55,0.34
a_1,3.48,3.51,3.56,1.92,2.92,1.07,1.33,1.09,0.93,1.27,1.1,0.85,1.3,0.71,0.89,0.74
h_1,6.64,6.72,4.93,5.24,5.79,4.65,1.32,1.8,1.81,2.61,1.7,1.54,1.43,1.94,1.37,1.23
d_0,7.05,7.3,4.04,6.87,7.97,5.93,2.39,1.5,1.73,2.33,1.43,1.61,1.52,1.23,1.83,1.35
c_0,6.98,11.92,6.72,6.32,4.06,5.88,2.7,2.94,1.44,2.29,2.06,1.78,2.1,1.59,1.75,1.47
g_1,6.38,6.77,6.98,6.0,7.49,5.88,1.92,2.2,2.12,1.32,1.9,2.13,1.85,1.18,1.66,1.8
b_0,7.28,12.52,7.49,9.77,6.24,6.01,2.77,3.38,1.49,2.62,1.53,1.91,2.41,1.69,1.89,1.7
f_0,13.09,9.89,7.89,7.84,5.96,6.61,3.39,2.58,2.12,2.0,2.46,1.52,2.14,1.92,2.24,1.24
a_0,10.91,11.5,9.62,11.17,8.32,11.24,3.76,3.18,2.17,3.66,1.51,2.46,1.54,2.26,2.21,1.82
h_0,9.95,10.33,8.93,10.24,8.7,8.8,3.8,2.93,2.55,3.47,2.66,2.49,2.24,2.74,2.51,2.02
e_0,12.82,11.21,16.37,9.38,9.17,8.73,4.53,3.08,2.99,3.55,2.79,1.84,2.59,2.31,1.63,1.88
g_0,10.59,10.66,9.88,11.05,11.06,9.13,3.56,3.54,3.13,4.81,2.6,3.3,3.09,2.14,2.58,2.85
