,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,5.91,2.79,4.18,2.52,2.74,2.65,10.14,13.23,11.95,10.7,14.5,8.41,15.17,20.55,11.34,19.38
c_1,2.71,6.46,2.62,4.75,2.84,2.79,9.36,12.46,7.31,10.45,8.71,13.19,11.55,19.97,14.74,19.42
e_1,3.13,3.43,6.57,2.84,2.29,2.49,11.56,21.98,12.11,9.85,14.19,13.25,14.71,20.99,9.09,19.92
b_1,2.83,2.69,2.55,6.97,2.87,5.25,10.47,11.86,11.28,10.52,9.98,13.46,10.22,18.42,16.32,18.97
d_1,2.65,2.23,2.88,2.64,7.22,3.11,10.45,9.62,22.14,10.44,18.18,17.49,16.33,20.5,16.64,23.14
a_1,3.01,2.76,2.97,2.64,2.89,10.38,11.25,12.26,12.79,10.6,13.68,15.8,9.66,20.95,16.32,23.6
h_1,3.69,3.39,3.08,2.86,3.12,2.87,19.9,13.3,12.66,14.46,14.73,14.56,14.07,18.8,14.33,26.76
d_0,3.18,4.91,2.68,3.78,2.12,2.18,10.55,19.44,9.71,10.57,11.54,14.64,13.75,24.39,18.24,21.57
c_0,3.13,2.51,3.16,2.47,3.39,3.15,12.37,14.19,21.94,10.94,27.42,17.69,22.96,25.86,18.38,23.03
g_1,2.89,2.9,2.89,2.78,4.6,2.53,8.96,12.35,15.15,23.23,14.82,21.04,16.55,22.78,16.37,18.24
b_0,3.59,3.36,2.85,2.23,3.16,2.54,12.09,14.86,15.3,12.17,24.84,16.12,33.11,24.7,17.41,24.23
f_0,2.97,3.26,2.64,3.1,3.16,3.45,11.66,15.07,15.25,10.87,16.4,25.61,16.24,24.55,30.6,22.37
a_0,3.61,3.35,3.19,3.18,2.76,2.51,12.33,15.86,12.04,12.94,17.2,15.11,29.68,26.06,17.89,19.75
h_0,4.01,3.04,2.65,3.09,3.25,2.93,8.03,13.98,11.69,13.93,15.96,13.61,16.8,18.87,16.61,26.42
e_0,3.61,3.21,2.44,3.06,3.3,3.06,12.67,12.5,13.35,10.62,15.78,14.49,15.72,25.01,32.56,25.51
g_0,2.74,2.93,2.36,2.91,4.33,3.48,11.79,13.17,15.61,9.18,17.21,22.37,14.99,25.12,22.53,19.58
