,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.05,1.25,0.68,0.74,0.62,0.65,0.94,0.85,0.96,0.78,0.87,0.54,0.98,0.96,0.67,0.88
e_1,0.83,2.09,0.7,0.95,0.61,0.64,0.98,0.98,1.65,0.91,1.06,1.03,0.93,0.97,0.73,0.88
d_1,0.8,0.73,2.22,0.59,0.68,0.71,1.04,0.91,0.55,1.68,1.13,1.07,1.09,1.02,1.14,1.09
c_1,0.69,0.64,0.75,2.37,1.47,0.76,0.79,0.84,0.85,0.59,0.74,0.96,0.91,0.83,0.9,0.88
b_1,0.75,0.63,0.71,0.79,2.61,1.43,0.87,0.81,0.9,0.96,0.66,0.97,0.95,0.73,1.02,0.89
a_1,0.84,0.78,0.9,0.72,0.7,3.35,1.03,1.14,0.9,0.88,0.94,0.94,1.03,0.77,0.92,1.05
h_1,1.2,0.76,0.87,0.82,0.72,0.63,1.96,1.27,0.97,0.94,1.18,1.1,0.81,1.04,1.21,1.49
g_1,0.63,0.79,1.26,0.79,0.78,0.68,1.04,2.43,0.94,1.02,1.18,1.66,0.82,1.15,1.19,1.02
d_0,0.82,0.79,0.58,1.59,0.89,0.77,0.93,1.0,1.64,0.62,0.88,1.03,1.07,0.92,1.16,0.96
c_0,0.88,0.84,0.94,0.7,0.61,0.67,1.15,1.19,1.03,1.51,2.01,1.17,1.28,1.39,1.3,1.29
b_0,0.94,0.79,0.96,0.85,0.69,0.66,1.18,1.18,1.07,1.08,1.92,1.22,1.13,2.24,1.24,1.15
f_0,0.68,0.65,0.94,0.88,0.8,0.94,1.02,1.04,1.05,1.25,1.08,2.0,1.23,1.13,2.34,1.25
h_0,1.08,0.76,1.0,0.83,0.74,0.77,0.83,1.24,0.88,1.08,1.06,1.02,0.85,1.23,0.97,1.53
a_0,0.8,0.76,0.97,0.89,1.03,0.44,1.2,1.27,1.04,1.16,1.15,1.4,1.18,2.39,1.32,1.08
e_0,0.79,0.55,0.96,0.99,0.9,0.78,1.1,1.15,0.95,1.13,1.29,1.14,1.41,1.13,2.21,1.26
g_0,0.75,0.73,1.35,0.82,0.8,0.78,1.01,0.73,0.82,1.11,1.04,1.45,1.17,1.21,1.24,0.74
