,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.27,0.9,0.51,0.52,0.37,0.33,0.57,0.99,0.93,0.48,0.87,0.33,1.22,0.75,0.42,0.86
e_1,0.58,2.28,0.42,0.56,0.43,0.32,0.9,1.8,0.83,0.73,0.92,0.85,1.15,0.92,0.36,1.06
d_1,0.62,0.41,2.42,0.43,0.44,0.39,0.8,0.4,2.01,0.78,1.18,1.0,1.29,0.77,0.88,1.03
c_1,0.55,0.49,0.4,2.43,0.84,0.3,0.83,0.9,0.43,0.67,0.64,0.84,1.06,0.69,0.86,0.91
b_1,0.44,0.4,0.49,0.45,2.48,0.86,0.9,1.06,0.87,0.85,0.43,0.87,1.24,0.62,0.65,0.95
a_1,0.5,0.41,0.56,0.4,0.52,2.96,1.09,1.07,1.05,0.82,1.07,1.05,1.32,0.32,0.89,1.44
h_1,0.86,0.55,0.69,0.54,0.47,0.32,3.13,1.19,1.27,1.23,1.14,0.97,0.82,0.94,1.0,1.81
d_0,0.65,0.67,0.35,1.09,0.56,0.38,1.26,2.58,0.64,0.84,1.03,1.1,1.6,0.91,0.9,1.28
c_0,0.77,0.65,0.63,0.32,0.46,0.52,1.14,1.29,2.59,0.88,2.33,1.05,1.57,1.13,1.04,1.52
g_1,0.43,0.56,1.0,0.59,0.48,0.39,0.99,1.18,0.99,3.46,1.14,1.8,1.66,1.04,1.08,0.93
b_0,0.79,0.76,0.62,0.65,0.22,0.37,0.96,1.17,1.25,1.03,2.86,1.23,1.47,2.22,1.24,1.5
f_0,0.38,0.48,0.75,0.63,0.62,0.43,1.14,1.18,1.37,1.0,1.37,2.97,1.73,1.1,2.36,1.38
h_0,0.84,0.66,0.65,0.54,0.56,0.47,0.64,1.31,1.35,1.23,1.19,1.09,0.73,0.8,0.86,1.82
a_0,0.64,0.55,0.77,0.72,0.47,0.18,1.09,1.22,1.41,1.03,1.53,1.38,1.69,3.04,0.73,1.71
e_0,0.64,0.33,0.74,0.71,0.67,0.48,1.3,1.02,1.53,0.95,1.29,1.11,2.05,0.88,3.34,1.32
g_0,0.53,0.58,0.99,0.54,0.58,0.43,1.1,1.12,1.15,0.62,1.12,1.98,1.33,1.12,1.07,0.91
