,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,3.93,0.27,0.44,0.45,0.42,0.29,0.72,1.58,0.71,0.8,0.67,0.93,0.98,1.16,0.22,0.82
d_1,0.31,4.11,0.39,0.33,0.35,0.35,0.73,0.17,1.65,0.75,0.98,0.9,1.03,0.79,1.18,0.9
f_1,0.7,0.38,4.06,0.43,0.28,0.49,0.69,0.66,0.72,0.62,0.75,0.13,0.98,0.81,0.78,0.83
c_1,0.4,0.31,0.39,4.13,0.78,0.3,0.93,0.77,0.15,0.67,0.63,0.87,0.76,0.76,0.96,0.69
b_1,0.43,0.45,0.46,0.31,4.84,0.76,0.62,0.75,0.7,0.8,0.19,0.72,0.91,0.75,0.53,0.56
a_1,0.42,0.39,0.42,0.43,0.25,7.04,0.87,0.92,0.91,0.79,0.84,0.9,0.74,0.81,0.6,0.2
h_1,0.7,0.71,0.84,0.76,0.69,0.63,5.05,1.41,1.29,1.68,1.49,1.42,0.52,1.71,1.36,1.69
d_0,0.6,0.14,0.89,1.43,0.64,0.68,1.13,3.63,1.07,1.0,1.58,1.12,1.4,1.28,1.14,1.81
c_0,0.71,0.94,0.73,0.24,0.67,0.64,1.03,1.41,3.81,1.08,3.25,1.81,1.43,1.61,1.79,1.72
g_1,0.44,1.29,0.6,0.78,0.62,0.43,1.07,1.31,1.3,6.41,1.53,2.25,1.11,0.84,1.59,1.31
b_0,0.66,0.82,0.77,0.78,0.3,0.45,2.0,1.21,1.65,1.36,4.68,1.55,1.51,1.56,1.38,3.42
f_0,0.68,0.92,0.22,0.61,0.91,0.71,1.41,1.56,1.54,1.15,1.59,4.22,1.54,2.07,2.85,1.45
h_0,0.76,0.72,1.01,0.62,0.57,0.59,0.5,1.32,1.43,1.91,1.48,1.33,0.67,1.76,1.32,1.2
g_0,0.58,1.28,0.41,0.8,0.66,0.67,1.34,1.15,1.17,0.51,1.17,2.23,1.36,0.55,1.31,1.2
e_0,0.21,0.78,0.72,0.78,0.68,0.83,1.45,1.35,1.58,1.37,1.91,1.94,2.19,2.16,6.77,1.37
a_0,0.57,0.85,0.67,0.81,0.68,0.32,1.49,1.79,1.28,1.42,1.39,1.6,2.07,1.37,1.76,5.83
