,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.07,3.63,2.23,3.42,3.06,2.57,1.26,1.32,0.97,1.7,0.99,0.96,0.69,0.87,1.7,1.01
d_1,4.35,1.06,3.5,3.87,2.9,2.91,1.29,3.03,1.04,0.79,1.0,0.81,0.85,0.45,0.94,0.76
f_1,3.69,3.45,1.07,3.54,2.68,2.98,1.12,0.87,0.96,1.26,0.95,1.99,0.6,1.14,0.93,0.89
c_1,3.15,3.78,3.25,1.07,4.68,2.65,1.27,0.61,2.06,1.12,1.0,1.14,0.85,0.71,0.94,0.77
b_1,3.86,4.46,5.31,2.2,1.07,5.6,1.41,1.25,1.22,1.43,2.09,0.91,1.04,0.8,0.88,0.95
a_1,6.72,5.66,4.53,6.53,2.73,1.07,2.17,1.66,1.55,2.75,1.99,1.56,1.23,1.12,1.07,2.47
h_1,7.63,7.58,8.24,6.53,8.2,5.54,1.39,2.59,2.61,3.14,1.69,1.89,2.84,1.62,1.75,1.9
d_0,4.71,13.06,10.93,10.62,8.57,6.74,3.17,1.64,2.42,3.02,2.96,2.01,1.93,2.04,2.17,1.89
c_0,9.62,5.11,9.78,18.19,9.38,7.12,3.18,3.11,1.61,3.15,2.69,2.6,1.88,2.14,2.46,2.11
g_1,7.28,10.11,9.89,9.5,7.9,6.39,2.57,3.17,3.25,1.39,2.82,3.1,1.44,3.61,2.23,2.15
b_0,9.68,8.37,10.47,10.84,16.3,7.36,3.66,2.51,1.67,3.07,1.57,2.5,2.02,2.2,2.07,2.92
f_0,9.01,9.58,23.72,9.57,10.7,8.49,3.87,3.9,2.69,2.37,2.87,1.69,2.55,1.81,2.33,2.08
h_0,11.26,10.74,12.46,12.98,11.22,10.81,7.8,3.84,3.56,5.89,3.72,3.36,4.14,2.83,2.25,2.14
g_0,10.45,16.6,13.13,15.11,13.6,11.69,4.61,4.47,3.79,5.94,3.72,3.62,2.77,4.92,2.8,3.12
e_0,21.71,9.96,14.26,13.09,19.98,13.28,5.28,5.47,3.7,4.16,4.08,2.67,3.47,3.44,1.64,2.36
a_0,12.65,13.33,15.09,14.9,18.96,,5.16,4.14,4.15,5.87,2.46,4.4,4.17,3.5,4.26,1.8
