,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,2.43,0.21,0.25,0.27,0.3,0.2,0.52,0.91,0.55,0.68,0.44,0.6,0.82,1.01,,0.54
d_1,0.24,2.46,0.28,0.31,0.22,0.23,0.56,,1.01,0.47,0.66,0.58,0.96,0.56,0.72,0.62
f_1,0.37,0.28,2.47,0.3,0.23,0.32,0.51,0.53,0.59,0.48,0.64,,0.75,0.86,0.7,0.78
c_1,0.31,0.23,0.25,2.49,0.46,0.26,0.72,0.54,,0.46,0.53,0.73,0.7,0.68,0.83,0.59
b_1,0.3,0.33,0.32,0.2,2.7,,0.49,0.58,0.62,0.63,,0.55,0.9,0.58,0.47,0.59
a_1,0.29,0.24,0.3,0.28,,3.27,0.7,0.69,0.68,,0.61,0.67,0.68,0.64,,
h_1,0.58,0.45,0.54,0.5,0.56,0.47,3.8,1.44,1.39,1.53,1.15,1.03,,1.61,1.13,1.13
d_0,0.55,,0.73,1.09,0.6,0.66,0.94,3.43,1.27,1.05,1.59,1.08,1.71,1.6,0.91,1.71
c_0,0.63,0.56,0.72,,0.6,0.66,0.83,1.35,3.38,0.93,2.48,1.59,1.67,2.0,1.39,1.12
g_1,0.36,0.77,0.56,0.55,0.55,,0.82,1.19,1.32,4.28,1.25,2.08,1.11,,1.14,
b_0,0.62,0.61,0.58,0.57,,0.49,1.61,1.05,1.19,1.03,3.77,1.53,1.57,1.98,1.62,2.4
f_0,0.7,0.77,,0.49,0.77,0.56,1.39,1.78,1.42,0.83,1.25,3.68,1.66,1.53,2.19,1.22
h_0,0.88,0.57,1.04,0.68,0.61,0.76,,1.71,1.82,2.16,1.44,1.73,,2.61,1.34,1.34
g_0,0.63,1.39,0.46,0.78,0.9,0.87,1.56,1.77,1.16,,1.17,2.26,1.64,,1.69,1.52
e_0,,0.53,0.5,0.53,0.75,,1.27,1.49,1.59,1.38,1.31,1.06,2.24,1.99,4.68,
a_0,0.54,0.74,0.59,0.66,0.54,,1.34,1.37,1.6,,1.17,1.43,2.68,1.64,,4.6
