,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,10861.73,270.27,176.64,273.09,333.85,1773.53,129813.84,717982.7,622332.54,788112.18,,1397399.61,4151678.64,7907924.0,4919061.9,19291251.79
e_1,113.84,10916.36,198.94,226.71,452.81,2041.8,146201.4,1129501.11,513073.59,876644.6,1155299.12,1229370.28,5079862.3,10555510.89,,13242855.54
d_1,136.31,205.6,17390.15,241.53,272.17,1851.35,111439.24,,462592.45,1707933.65,1313359.08,1488962.51,4815395.17,6846190.86,6258618.43,18169405.91
c_1,153.33,83.02,170.04,20988.79,761.77,1618.71,194384.71,897148.5,375887.52,,1316613.24,1159470.57,4999730.98,8475240.91,7384319.96,16349614.77
b_1,177.45,104.45,201.06,225.87,33936.38,4343.58,152850.75,644111.8,459778.75,632395.37,1759999.72,,5214336.29,8126202.07,7803963.59,13845150.06
a_1,171.55,139.32,200.82,229.56,391.78,279470.68,178647.83,687357.85,525694.9,796412.46,1025889.63,1621569.56,,6423555.67,5948518.85,13719384.48
h_1,609.47,612.83,840.08,904.08,1594.64,6200.52,7375048.62,2671898.14,2409157.43,3331646.17,3559994.12,4876815.42,18025048.23,,17038065.31,95216730.55
d_0,907.12,722.1,,2337.83,1299.34,7294.73,934395.3,19875172.15,2409157.43,4442194.89,7685066.67,4644586.11,29093060.3,42054151.17,38335646.95,75568833.77
g_1,306.53,500.87,1442.42,777.66,1077.73,9367.14,608948.97,2471064.98,33276486.98,2434230.28,5270263.61,6356478.29,21799486.94,38636045.71,15833156.26,
c_0,972.98,678.85,604.36,,1489.34,6642.71,1005157.18,2265619.86,3058694.52,26238764.89,8549788.91,12444325.69,33226588.19,53852723.2,22377649.17,73049074.24
f_0,,589.15,1227.37,1524.54,1478.96,9278.47,901984.36,3689161.9,2992489.84,4294927.88,47976378.42,7476864.75,25641842.56,47013099.52,50792433.91,72089405.45
b_0,793.01,683.48,1415.51,1357.63,,6413.56,960223.33,3371977.67,1684885.42,3742463.98,5690840.51,52065138.41,60661055.04,31512095.64,22129458.24,72480487.22
a_0,858.63,1087.2,1222.61,799.09,1788.91,,823609.49,3312925.27,3378323.55,3232460.1,8367750.25,5080163.41,257551597.45,,,71211158.89
h_0,1249.75,1095.54,1745.32,2167.89,2904.25,15667.81,,4610094.28,5446790.71,6107365.47,9965035.29,9056942.92,,,50558606.85,153766148.72
e_0,878.7,,1042.66,1321.0,2237.56,11724.62,881174.64,3551816.48,2247243.28,4341781.64,9731090.91,5598837.44,,40736545.46,308079199.12,
g_0,946.34,837.38,2728.71,1390.18,2247.7,11689.2,1203180.14,4506836.62,,4088183.11,17204333.53,11629005.26,38004792.41,78970644.52,,
