,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.0,1.34,0.97,0.97,0.8,0.7,0.59,0.61,0.78,0.55,0.53,0.58,0.48,0.55,0.51,0.62
e_1,0.75,1.0,0.8,1.21,1.13,0.9,0.76,0.94,0.69,0.68,0.7,0.67,0.58,0.64,0.51,0.55
d_1,1.03,1.24,1.0,0.88,0.81,0.9,0.7,0.69,0.51,0.92,0.63,0.64,0.52,0.53,0.62,0.44
c_1,1.03,0.83,1.13,1.0,1.35,0.82,0.73,0.49,0.68,0.58,0.59,0.57,0.6,0.56,0.6,0.61
b_1,1.25,0.88,1.24,0.74,1.0,1.22,0.76,0.69,0.71,0.68,0.77,0.55,0.62,0.65,0.61,0.66
a_1,1.43,1.11,1.09,1.22,0.83,1.0,0.98,0.92,0.75,0.77,0.75,1.06,1.24,0.67,0.61,0.64
h_1,1.68,1.3,1.39,1.41,1.31,1.08,1.0,0.84,1.1,0.85,0.81,0.77,0.75,0.91,0.69,0.89
d_0,1.65,1.02,1.4,2.17,1.48,0.99,1.19,1.0,1.04,0.89,0.9,1.0,0.89,0.92,0.87,1.02
g_1,1.33,1.49,1.97,1.3,1.4,1.27,0.88,0.98,1.0,0.83,1.03,1.05,0.83,0.81,0.9,0.9
c_0,1.79,1.48,1.09,1.68,1.47,1.23,1.16,1.09,1.23,1.0,0.99,1.39,1.11,0.97,0.94,0.94
f_0,1.84,1.38,1.61,1.69,1.34,1.26,1.27,1.1,0.96,0.93,1.0,1.09,0.92,0.98,1.44,0.65
b_0,1.79,1.48,1.51,1.87,1.9,0.89,1.24,0.98,1.0,0.73,0.97,1.0,1.49,1.03,0.93,0.9
a_0,2.06,1.63,1.86,1.74,1.89,0.98,1.34,1.1,1.17,0.92,1.04,0.69,1.0,1.08,0.97,0.92
h_0,1.87,1.68,1.86,1.83,1.49,1.35,1.07,1.09,1.23,1.02,0.98,1.03,0.94,1.0,0.98,1.13
e_0,2.02,1.79,1.59,1.73,1.71,1.73,1.38,0.99,1.16,1.02,0.73,1.09,1.01,1.01,1.0,0.87
g_0,1.62,1.76,2.2,1.72,1.44,1.63,1.15,1.03,1.12,1.05,1.57,1.1,1.0,0.88,1.09,1.0
