,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.28,0.99,0.99,0.93,0.86,0.84,1.01,0.96,0.87,0.92,0.95,0.87,0.89,0.96,0.74
e_1,0.79,1.0,0.97,1.15,1.05,1.04,1.04,1.06,1.36,1.0,1.07,1.16,1.03,0.97,1.13,1.03
d_1,1.02,0.99,1.0,1.01,0.98,0.89,1.0,0.87,0.99,1.18,1.03,0.95,0.97,1.08,0.85,1.02
c_1,1.01,0.88,0.97,1.0,1.33,1.09,0.99,1.01,0.74,0.93,0.81,0.99,1.02,1.03,0.97,1.02
b_1,1.07,0.95,1.01,0.77,1.0,1.37,1.09,1.01,1.0,1.13,1.01,1.0,1.08,0.86,1.13,1.03
a_1,1.15,0.97,1.13,0.91,0.76,1.0,1.19,1.06,0.98,1.19,1.21,1.1,1.14,1.06,1.03,1.1
h_1,1.18,0.97,1.01,1.02,0.93,0.82,1.0,1.13,1.01,0.9,0.95,0.89,0.94,0.93,1.17,1.03
g_1,0.96,0.94,1.12,1.01,0.99,0.92,0.91,1.0,0.98,0.96,1.01,1.11,0.88,0.99,1.04,1.0
d_0,1.0,0.78,0.98,1.41,1.0,0.98,1.0,1.01,1.0,0.84,1.09,0.98,1.09,1.08,1.03,1.09
c_0,1.15,0.97,0.84,1.1,0.88,0.87,1.09,1.06,1.11,1.0,1.34,0.95,1.12,1.13,1.02,1.11
b_0,1.12,0.92,0.94,1.22,0.96,0.82,1.07,1.07,0.93,0.77,1.0,0.94,1.04,1.38,0.94,1.05
f_0,1.05,0.87,1.03,1.03,1.01,0.95,1.12,0.88,0.98,0.99,1.06,1.0,1.03,1.1,0.86,1.49
h_0,1.13,0.99,1.03,0.98,0.92,0.86,1.09,1.17,0.92,0.9,0.97,0.91,1.0,0.97,1.08,0.86
a_0,1.17,1.01,0.95,1.01,1.07,0.91,1.07,0.99,0.97,0.85,0.75,0.97,1.0,1.0,1.04,0.99
g_0,0.97,0.89,1.16,1.01,0.93,0.93,0.83,1.02,1.01,0.95,1.02,1.18,0.93,1.03,1.0,1.1
e_0,1.34,0.98,0.96,1.01,1.01,0.86,0.95,0.99,0.93,0.92,0.93,0.66,1.09,1.02,0.93,1.0
