,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.45,1.71,1.5,1.56,1.64,1.41,0.33,0.5,0.34,0.31,0.31,0.67,0.17,0.26,0.27,0.26
e_1,0.93,0.43,2.12,1.75,1.73,1.91,0.49,0.55,0.43,0.41,0.42,0.48,0.27,0.44,0.31,0.68
d_1,1.75,2.16,0.41,2.11,2.01,1.49,0.48,0.31,0.71,0.29,0.33,0.29,0.24,0.32,0.16,0.33
c_1,1.73,1.57,2.21,0.41,1.67,1.91,0.52,0.5,0.2,0.61,0.36,0.36,0.27,0.4,0.27,0.33
b_1,2.17,1.71,2.1,1.04,0.38,1.9,0.7,0.64,0.48,0.61,0.98,0.42,0.29,0.43,0.33,0.46
a_1,2.84,2.2,2.39,2.39,1.13,0.33,0.88,0.72,0.53,0.6,0.59,0.51,0.4,1.01,0.36,0.48
h_1,3.08,2.82,2.38,2.72,2.7,2.74,0.33,0.81,0.67,0.52,0.53,0.56,0.67,0.49,0.53,0.57
g_1,2.99,3.46,2.87,3.47,3.32,2.69,0.64,0.3,0.81,0.61,0.6,0.67,0.36,0.61,0.64,0.67
d_0,3.47,1.65,5.67,3.56,3.15,3.3,0.89,1.06,0.37,0.64,0.66,0.61,0.55,0.75,0.56,0.71
c_0,4.27,3.47,1.75,5.64,3.8,2.68,0.83,0.93,0.92,0.36,0.7,0.53,0.57,0.76,0.5,0.69
b_0,3.92,2.97,2.44,5.51,6.8,3.06,0.89,0.99,0.63,0.33,0.34,0.6,0.47,0.64,0.41,0.56
f_0,5.63,3.23,3.47,3.35,3.83,3.41,1.08,0.61,0.83,0.81,0.79,0.33,0.52,0.65,0.3,0.71
h_0,3.89,4.64,3.48,3.92,2.96,3.02,1.89,1.18,0.88,0.68,0.77,0.77,0.76,0.66,0.56,0.56
a_0,4.35,4.54,3.74,3.8,5.05,6.4,1.14,1.05,0.98,0.65,0.46,0.73,0.54,0.32,0.53,0.59
g_0,4.91,4.14,4.08,4.81,4.2,4.1,0.84,1.84,1.04,0.72,0.81,0.77,0.45,0.87,0.74,0.71
e_0,6.79,6.33,3.75,4.58,4.51,5.15,1.15,1.39,0.74,0.7,0.81,0.39,0.68,0.67,0.53,0.3
