,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,3.96,0.47,0.36,0.32,0.33,0.4,0.85,0.22,1.44,0.63,1.05,0.94,0.78,0.93,0.88,0.83
f_1,0.36,3.91,0.74,0.41,0.36,0.39,0.82,0.76,0.84,0.59,0.76,0.13,1.01,0.57,0.46,0.76
e_1,0.35,0.45,4.17,0.38,0.4,0.32,0.63,1.55,0.73,0.71,0.65,0.76,0.97,0.79,0.18,0.82
c_1,0.42,0.31,0.38,4.35,0.76,0.22,0.74,0.84,0.17,0.79,0.62,0.88,0.88,0.91,0.87,1.1
b_1,0.4,0.35,0.37,0.42,4.95,0.72,0.88,0.91,0.58,0.74,0.22,0.89,0.7,0.55,0.99,0.59
a_1,0.4,0.57,0.37,0.37,0.25,6.66,0.6,0.69,0.81,0.73,0.87,0.84,0.92,0.3,0.69,0.99
h_1,0.72,0.97,0.52,0.71,0.66,0.71,5.05,1.18,1.24,1.45,1.31,1.26,0.45,1.36,1.55,1.55
d_0,0.14,0.65,0.62,1.5,0.67,0.89,1.12,3.67,1.28,1.08,1.79,1.24,1.64,1.52,1.28,1.55
c_0,0.78,0.63,0.72,0.35,0.63,0.8,1.52,1.41,3.82,1.29,2.77,1.83,1.63,1.79,1.53,1.85
g_1,1.11,0.59,0.43,0.62,0.77,0.67,1.07,1.12,1.31,6.34,1.42,2.26,1.57,0.84,1.33,0.82
b_0,0.7,0.81,0.56,0.86,0.26,0.53,1.65,1.31,1.66,1.6,4.64,1.69,1.88,3.18,1.91,1.6
f_0,1.0,0.22,0.62,0.81,0.71,0.47,1.24,1.43,1.77,1.68,1.63,4.45,1.82,1.64,4.2,1.44
h_0,0.71,0.93,0.58,0.67,0.63,0.81,0.46,1.33,1.46,2.02,1.67,1.41,0.55,1.69,1.37,2.29
a_0,0.84,0.86,0.75,0.77,0.52,0.27,1.6,1.23,1.37,1.48,1.71,1.28,1.49,6.28,1.45,1.36
e_0,0.82,0.73,0.33,0.75,0.79,0.57,1.12,1.3,1.98,1.63,1.18,1.85,2.02,1.6,6.51,1.72
g_0,1.34,0.58,0.52,0.57,0.69,0.65,1.03,1.05,1.29,0.59,1.37,2.23,1.37,1.44,1.78,0.95
