,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,19.15,0.65,0.44,0.37,0.47,0.59,1.0,0.35,2.01,0.8,1.24,1.09,0.89,1.13,1.08,0.91
f_1,0.45,17.08,1.21,0.55,0.4,0.49,0.88,0.82,0.91,0.71,0.92,0.3,1.02,0.72,0.52,0.75
e_1,0.45,0.59,19.21,0.63,0.54,0.49,0.7,2.14,0.83,0.86,0.84,0.92,1.07,0.97,0.4,1.0
c_1,0.58,0.42,0.48,20.07,1.24,0.33,0.83,0.87,0.29,0.84,0.66,0.95,0.88,0.98,1.01,1.05
b_1,0.54,0.48,0.44,0.59,22.31,1.21,0.92,1.01,0.62,0.86,0.37,0.94,0.76,0.56,1.08,0.72
a_1,0.56,0.77,0.47,0.54,0.33,32.04,0.86,0.76,0.82,0.91,0.95,0.94,1.1,0.46,0.84,1.07
h_1,0.74,1.06,0.55,0.69,0.62,0.67,5.48,0.93,1.14,1.37,1.07,1.15,0.61,1.07,1.36,1.45
d_0,0.2,0.58,0.59,1.78,0.76,0.89,1.05,3.16,0.85,1.02,1.35,1.03,1.3,1.21,0.99,1.4
c_0,0.89,0.7,0.68,0.39,0.57,0.72,1.42,1.12,3.19,1.24,2.88,1.49,1.22,1.7,1.26,1.24
g_1,1.31,0.54,0.45,0.71,0.75,0.61,0.96,0.87,1.05,6.97,1.12,2.41,1.24,0.86,1.36,0.85
b_0,0.74,0.77,0.64,0.77,0.27,0.48,1.48,1.03,1.33,1.34,4.18,1.35,1.65,3.12,1.59,1.45
f_0,1.04,0.3,0.55,0.79,0.83,0.47,1.01,0.89,1.54,1.36,1.33,4.09,1.52,1.19,3.8,1.16
h_0,0.7,1.05,0.53,0.66,0.68,0.77,0.58,1.08,1.26,1.88,1.38,1.24,0.59,1.37,1.21,1.9
a_0,0.9,0.71,0.68,0.79,0.51,0.26,1.48,1.2,1.25,1.16,1.52,1.01,1.42,5.41,1.39,1.27
e_0,0.77,0.72,0.46,0.65,0.92,0.53,1.11,1.14,1.75,1.2,1.07,1.52,1.78,1.5,5.4,1.74
g_0,1.58,0.59,0.43,0.67,0.8,0.75,0.94,0.79,1.16,0.79,1.31,2.24,1.14,1.15,1.6,1.03
