,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,12658.25,199.45,213.78,214.69,307.79,1316.72,248859.96,,952756.25,317799.7,1349387.12,1836672.82,4367865.02,5299486.98,6973999.02,15002980.65
f_1,145.1,12693.1,358.28,234.95,455.26,1557.01,271134.64,551339.04,635531.32,351451.65,803662.47,,6091994.6,2892269.8,4123338.24,16743591.02
e_1,152.59,209.87,16347.63,218.85,450.6,944.65,186208.87,996071.26,534673.2,439995.04,777540.44,1149107.44,5570871.5,4562380.83,,14572139.6
c_1,155.13,118.97,200.1,20516.54,781.03,,219233.03,606782.87,,552563.41,778342.83,1639880.91,5247092.87,6366245.33,6981523.07,20333641.39
b_1,162.39,141.84,222.97,262.94,40909.24,2270.0,272672.23,660911.4,441658.95,486364.11,,1694445.61,4518068.67,3959025.46,7213823.3,9483777.3
a_1,176.7,248.09,182.34,,296.77,182855.88,132072.49,530239.7,623017.47,485054.61,1041316.39,,4741506.99,,,15749472.6
h_1,681.56,981.43,653.7,1047.0,1580.39,6563.28,9749780.21,2324065.51,2210143.78,2045850.6,2981164.78,4396685.49,,19303709.81,22729200.16,55976800.0
d_0,,739.97,1033.32,2082.31,2042.69,10353.79,900412.6,16749919.41,2666205.2,1787179.83,6865712.82,7071917.4,26937937.08,25738279.74,25806449.48,85143455.63
c_0,820.05,692.53,1196.92,,2090.96,7169.57,1094510.04,2575546.59,19104522.01,2090762.82,10207296.83,7497590.42,20680934.71,30110365.67,28067372.72,66118123.8
g_1,981.26,568.56,450.02,953.32,1619.82,5354.61,669387.9,1784540.77,2089190.64,29488467.25,3888862.71,7837162.19,22986704.59,,23355799.7,
b_0,720.55,647.85,673.02,1448.35,,5383.54,1061200.57,2372306.18,3523199.72,2507522.73,38532061.76,8334759.79,29367161.76,37556877.58,,83046326.18
f_0,894.48,,909.01,1360.58,2276.14,,795900.43,2772825.41,3427978.11,2188383.47,5464546.94,57477369.46,29439316.95,31516260.91,70506906.6,75496660.16
h_0,1088.32,1422.14,1531.38,1548.62,2662.87,10480.28,,4160907.23,4297224.63,6656538.88,7927341.1,9087334.04,,44097865.29,45416147.12,179121364.93
a_0,892.2,745.61,959.01,1023.31,1680.93,,1190812.85,2154995.69,3561724.5,,6053357.49,5344426.13,26125686.3,291765995.56,,98366577.19
e_0,746.2,905.86,,1081.07,2410.04,,681436.25,3214092.25,4515347.51,2378102.2,,9880723.3,27600523.43,,366571249.56,76572284.62
g_0,2257.88,1154.35,1199.19,1433.72,3002.75,11510.98,1122701.96,3321228.66,3223684.46,,7208998.46,18033389.37,31113317.33,41181247.59,67741929.87,
