,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.53,0.84,0.64,0.53,0.59,0.59,0.85,0.6,1.27,0.62,0.92,0.79,0.83,0.75,0.72,0.65
f_1,0.61,1.52,1.08,0.72,0.55,0.5,0.74,0.81,0.83,0.66,0.76,0.45,0.85,0.56,0.44,0.69
e_1,0.66,0.65,1.54,0.78,0.68,0.55,0.74,1.4,0.79,0.8,0.77,0.81,0.99,0.72,0.43,0.88
c_1,0.82,0.62,0.63,1.56,1.05,0.41,0.78,0.69,0.45,0.73,0.6,0.76,0.85,0.71,0.73,0.86
b_1,0.75,0.73,0.64,0.63,1.61,1.07,0.86,0.93,0.69,0.73,0.55,0.78,0.79,0.53,0.74,0.67
a_1,0.77,0.97,0.7,0.82,0.43,1.73,0.84,0.77,0.82,0.82,0.88,0.92,0.99,0.56,0.71,0.92
h_1,0.94,1.18,0.83,0.9,0.8,0.73,1.72,0.97,1.03,1.13,0.93,1.0,0.86,0.81,0.96,1.2
d_0,0.53,0.87,0.72,1.54,0.91,0.91,1.1,1.59,0.93,0.98,1.2,1.03,1.26,0.95,0.84,1.24
c_0,0.93,1.0,0.96,0.79,0.83,0.81,1.24,1.18,1.58,1.09,1.69,1.14,1.17,1.16,0.9,1.11
g_1,1.34,0.87,0.73,0.97,0.94,0.7,0.94,0.97,1.04,1.81,0.99,1.55,1.07,0.76,0.99,0.91
b_0,0.94,1.07,0.92,1.1,0.56,0.62,1.31,1.03,1.04,1.12,1.67,1.13,1.38,1.62,1.17,1.16
f_0,1.19,0.7,0.85,1.02,1.02,0.61,1.05,1.03,1.27,1.01,1.13,1.68,1.37,0.99,1.83,0.94
h_0,1.02,1.27,0.83,0.95,0.95,0.83,0.85,1.11,1.21,1.4,1.16,1.1,0.91,1.03,0.92,1.46
a_0,1.11,1.08,0.99,1.05,0.9,0.51,1.37,1.17,1.14,1.16,1.1,0.99,1.34,1.77,1.05,1.18
e_0,1.06,1.2,0.91,0.94,1.1,0.72,1.09,1.25,1.49,1.06,1.05,1.04,1.55,1.12,1.76,1.34
g_0,1.58,1.01,0.75,0.99,1.11,0.88,1.01,0.94,1.2,0.92,1.18,1.66,1.13,1.0,1.13,1.07
