,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,10.88,1.79,0.64,0.66,0.42,0.58,0.9,0.86,0.89,0.89,0.95,0.5,0.81,0.95,0.8,0.63
e_1,0.67,12.12,0.86,0.6,0.71,0.61,0.9,0.82,2.25,0.92,0.93,0.91,1.05,1.04,0.91,0.68
c_1,0.58,0.54,13.34,0.55,1.77,0.66,0.88,0.85,0.86,0.4,0.55,1.0,0.87,0.79,0.91,1.04
d_1,0.71,0.64,0.46,16.27,0.51,0.69,0.96,1.06,0.47,2.52,1.37,1.27,0.99,1.04,1.15,1.14
b_1,0.73,0.43,0.79,0.62,16.59,1.56,0.99,0.89,0.8,0.81,0.49,0.9,1.06,0.55,0.99,0.84
a_1,0.82,0.56,0.67,0.59,0.69,23.52,1.01,0.84,0.92,0.88,0.89,0.81,1.09,0.57,0.92,0.65
h_1,1.41,0.69,0.55,0.87,0.62,0.67,3.77,1.2,0.86,0.93,1.2,0.9,0.81,1.08,1.5,0.92
g_1,0.61,0.59,0.67,1.68,0.66,0.63,0.97,4.37,0.96,1.06,1.36,1.98,1.23,1.45,0.87,1.56
d_0,0.65,0.57,2.65,0.5,0.82,0.52,1.1,1.13,2.32,0.62,0.96,1.22,1.12,1.1,1.04,1.3
c_0,0.75,0.75,0.56,1.08,0.42,0.78,0.98,1.11,1.24,2.52,3.55,1.35,1.48,1.78,1.52,1.56
b_0,0.8,0.72,0.69,1.12,0.35,0.71,1.15,1.2,0.88,1.24,3.05,1.22,1.26,3.59,1.38,1.36
f_0,0.58,0.44,0.87,1.06,0.65,0.56,1.07,1.32,1.1,1.25,1.52,3.42,1.62,1.47,1.32,3.81
h_0,1.04,0.6,0.81,1.0,0.73,0.61,0.67,1.69,0.97,1.01,1.3,1.09,0.69,1.17,1.45,1.13
a_0,0.81,0.74,0.87,0.92,0.59,0.44,1.28,1.16,0.97,0.8,1.43,1.32,1.14,3.67,1.1,1.54
g_0,0.68,0.58,0.6,1.74,0.63,0.64,1.03,0.89,0.67,0.95,1.39,2.3,1.14,1.25,0.82,1.52
e_0,0.8,0.39,0.77,0.91,1.13,0.79,1.12,1.22,1.04,0.98,1.65,1.32,1.39,1.22,1.25,5.06
