,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.18,1.68,1.79,1.36,1.73,1.18,0.29,0.63,0.36,0.3,0.35,1.17,0.18,0.37,0.25,0.39
e_1,0.82,0.17,1.78,2.06,2.14,1.46,0.5,0.47,0.42,0.37,0.36,0.46,0.29,0.36,0.33,1.61
c_1,1.71,1.46,0.16,1.98,1.53,1.59,0.64,0.45,0.18,1.2,0.45,0.32,0.19,0.3,0.29,0.3
d_1,1.77,2.09,1.89,0.15,1.84,2.04,0.4,0.27,1.35,0.28,0.25,0.29,0.21,0.33,0.13,0.29
b_1,2.41,1.6,0.74,1.87,0.13,2.07,0.53,0.65,0.38,0.48,2.0,0.39,0.28,0.47,0.25,0.28
a_1,1.56,1.76,1.96,1.78,0.8,0.09,0.57,0.52,0.42,0.43,0.34,0.58,0.36,2.07,0.3,0.41
h_1,0.94,0.9,0.91,0.85,0.86,1.06,0.06,0.33,0.2,0.24,0.18,0.2,0.5,0.17,0.14,0.28
g_1,0.96,1.03,0.96,1.0,0.93,0.95,0.26,0.05,0.2,0.18,0.16,0.16,0.1,0.17,0.32,0.21
d_0,1.0,0.51,1.02,2.77,0.91,0.86,0.32,0.34,0.08,0.18,0.23,0.17,0.16,0.2,0.16,0.17
c_0,1.08,0.78,3.17,0.49,1.03,0.77,0.28,0.35,0.22,0.07,0.21,0.17,0.14,0.26,0.18,0.19
b_0,0.95,0.84,1.48,0.71,2.73,1.31,0.24,0.22,0.19,0.07,0.06,0.15,0.12,0.15,0.08,0.12
f_0,3.95,0.79,0.92,0.73,1.01,1.39,0.27,0.15,0.17,0.17,0.16,0.05,0.14,0.14,0.08,0.14
h_0,1.01,0.94,0.9,0.95,0.86,0.79,0.62,0.29,0.16,0.19,0.16,0.13,0.35,0.2,0.13,0.15
a_0,0.94,0.86,1.11,0.76,1.64,,0.27,0.22,0.15,0.15,0.09,0.13,0.12,0.04,0.12,0.23
g_0,1.01,1.02,1.17,0.66,0.79,1.28,0.24,0.76,0.19,0.14,0.17,0.17,0.13,0.17,0.3,0.16
e_0,1.52,1.79,0.89,0.99,0.86,1.25,0.26,0.22,0.15,0.15,0.13,0.08,0.12,0.15,0.12,0.04
