,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.27,1.52,0.84,0.81,0.54,0.56,1.48,1.32,1.7,1.6,1.56,0.88,1.95,1.4,1.67,0.87
e_1,0.94,2.34,1.01,0.75,0.81,0.59,1.48,1.27,3.0,1.65,1.54,1.44,2.35,1.5,1.85,0.93
c_1,0.85,0.77,2.41,0.71,1.43,0.62,1.45,1.32,1.66,0.84,1.01,1.55,2.06,1.19,1.85,1.34
d_1,0.97,0.87,0.65,2.49,0.63,0.65,1.55,1.56,1.05,3.12,2.05,1.87,2.25,1.5,2.2,1.46
b_1,0.99,0.66,0.96,0.77,2.66,1.19,1.58,1.36,1.58,1.49,0.91,1.43,2.36,0.87,1.97,1.13
a_1,1.06,0.8,0.86,0.75,0.79,3.17,1.6,1.3,1.75,1.59,1.49,1.32,2.4,0.89,1.87,0.89
h_1,1.4,0.92,0.75,0.98,0.73,0.63,3.32,1.7,1.67,1.66,1.87,1.43,1.95,1.55,2.67,1.22
g_1,0.88,0.83,0.86,1.41,0.76,0.6,1.57,3.52,1.8,1.82,2.04,2.52,2.59,1.94,1.78,1.87
d_0,0.92,0.8,1.74,0.66,0.9,0.51,1.7,1.63,3.04,1.21,1.58,1.81,2.45,1.57,2.04,1.62
c_0,1.01,0.96,0.76,1.12,0.54,0.71,1.57,1.6,2.14,3.12,3.58,1.94,2.91,2.25,2.69,1.87
b_0,1.04,0.94,0.88,1.14,0.47,0.66,1.75,1.7,1.69,2.04,3.32,1.81,2.63,3.51,2.52,1.67
f_0,0.85,0.67,1.02,1.1,0.76,0.55,1.68,1.82,1.98,2.05,2.2,3.42,3.06,1.96,2.43,3.48
h_0,1.21,0.83,0.98,1.06,0.82,0.58,1.18,2.14,1.81,1.77,1.98,1.66,1.74,1.65,2.6,1.44
a_0,1.05,0.95,1.02,1.01,0.7,0.44,1.89,1.65,1.81,1.49,2.11,1.91,2.47,3.55,2.14,1.85
g_0,0.94,0.81,0.8,1.44,0.74,0.61,1.63,1.36,1.39,1.68,2.07,2.76,2.47,1.74,1.7,1.84
e_0,1.05,0.61,0.95,1.0,1.11,0.72,1.72,1.72,1.89,1.73,2.32,1.91,2.81,1.7,2.34,4.08
