,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,11.33,1.69,0.52,0.63,0.57,0.54,0.88,0.84,0.81,0.99,0.98,0.49,0.95,0.91,0.74,0.86
e_1,0.71,12.01,0.61,0.85,0.55,0.61,0.95,1.05,0.93,2.44,1.05,0.99,0.99,1.05,0.63,0.86
d_1,0.73,0.57,13.99,0.57,0.58,0.67,0.89,0.92,2.33,0.46,1.24,0.97,0.99,1.02,1.05,0.99
c_1,0.62,0.5,0.62,13.94,1.65,0.7,0.89,0.86,0.42,0.78,0.75,1.16,0.9,0.9,0.91,0.97
b_1,0.68,0.57,0.72,0.59,15.19,1.6,0.92,0.88,0.86,0.72,0.51,1.02,0.89,0.63,0.93,0.88
a_1,0.61,0.54,0.8,0.79,0.71,22.9,0.96,0.79,0.89,0.8,0.8,0.88,0.94,0.6,1.04,1.18
h_1,1.07,0.7,0.86,0.72,0.67,0.69,3.28,1.38,0.81,0.93,1.04,1.19,0.93,1.24,1.06,1.59
g_1,0.5,0.58,1.61,0.74,0.59,0.69,1.1,4.73,1.24,0.9,1.03,2.07,1.36,1.12,1.39,0.89
c_0,0.93,0.79,0.82,0.48,0.54,0.76,1.2,1.01,2.4,1.08,3.37,1.12,1.13,1.52,1.29,1.34
d_0,0.71,0.6,0.56,2.16,0.73,0.67,1.01,1.0,0.6,2.3,0.92,1.17,1.23,1.05,1.08,0.9
b_0,0.87,0.72,0.76,0.99,0.51,0.44,1.43,1.12,0.98,1.23,3.0,1.08,1.4,3.23,1.48,1.37
f_0,0.66,0.57,0.95,0.81,0.72,0.74,1.12,1.16,0.95,1.13,1.29,3.06,1.35,1.1,3.43,1.22
h_0,1.05,0.64,0.94,0.74,0.8,0.66,0.75,1.46,1.07,0.94,0.93,1.12,0.58,1.07,1.17,1.61
a_0,0.76,0.7,0.94,0.93,0.78,0.37,1.2,1.19,1.1,1.09,1.11,1.02,1.6,3.03,1.21,1.38
e_0,1.08,0.46,0.93,0.77,0.79,0.51,1.34,1.06,1.19,0.99,1.13,1.1,1.66,1.23,3.94,1.16
g_0,0.65,0.56,1.41,0.74,0.84,0.7,0.92,0.66,1.02,0.81,0.98,2.11,1.18,1.33,1.44,0.96
