,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.42,0.9,0.79,0.86,0.86,0.92,0.37,0.6,0.33,0.36,0.38,0.48,0.4,0.27,0.3,0.34
e_1,0.59,0.41,0.92,1.08,0.89,0.95,0.49,0.54,0.39,0.5,0.45,0.46,0.39,0.36,0.77,0.39
d_1,1.03,0.91,0.4,0.99,0.78,0.74,0.46,0.35,0.45,0.6,0.39,0.35,0.36,0.29,0.38,0.24
c_1,0.9,0.75,0.83,0.38,1.15,0.76,0.47,0.47,0.66,0.25,0.37,0.4,0.36,0.35,0.36,0.39
b_1,0.94,0.96,1.02,0.49,0.36,0.98,0.56,0.53,0.48,0.45,0.6,0.4,0.43,0.35,0.41,0.31
a_1,0.98,0.95,0.9,1.0,0.55,0.3,0.5,0.43,0.38,0.41,0.57,0.42,1.11,0.4,0.52,0.37
h_1,0.87,0.78,0.76,0.78,0.71,0.74,0.26,0.46,0.35,0.37,0.35,0.36,0.33,0.49,0.3,0.34
g_1,0.78,0.69,0.88,0.77,0.77,0.85,0.36,0.23,0.39,0.37,0.36,0.39,0.3,0.24,0.41,0.41
c_0,0.87,0.77,0.51,1.19,0.74,0.82,0.49,0.37,0.25,0.45,0.45,0.38,0.37,0.31,0.36,0.31
d_0,0.74,0.49,1.22,1.02,0.83,0.91,0.44,0.43,0.32,0.25,0.32,0.39,0.37,0.3,0.38,0.31
b_0,0.74,0.73,0.7,0.92,1.05,0.88,0.4,0.42,0.21,0.39,0.23,0.35,0.42,0.37,0.43,0.3
f_0,1.22,0.76,0.82,0.79,0.68,0.76,0.42,0.3,0.33,0.31,0.34,0.23,0.33,0.3,0.4,0.21
a_0,0.8,0.78,0.77,0.86,0.86,0.84,0.41,0.42,0.31,0.38,0.21,0.35,0.21,0.35,0.43,0.26
h_0,0.8,0.73,0.8,0.78,0.78,0.75,0.43,0.43,0.35,0.35,0.29,0.32,0.29,0.41,0.28,0.33
e_0,1.05,1.08,0.74,0.8,0.75,0.6,0.43,0.31,0.36,0.34,0.33,0.23,0.31,0.32,0.2,0.28
g_0,0.87,0.75,0.81,0.74,0.9,0.63,0.33,0.56,0.36,0.38,0.34,0.38,0.34,0.25,0.36,0.41
