,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,5.84,0.66,0.65,0.46,0.47,0.56,1.86,5.25,3.03,1.86,2.99,3.07,3.24,4.76,0.69,4.83
f_1,1.15,6.06,0.67,0.41,0.53,0.51,1.8,3.22,2.8,1.63,2.78,0.71,2.93,4.57,1.83,2.92
c_1,0.58,0.6,6.33,0.58,1.2,0.36,2.31,2.28,0.46,2.41,2.56,2.4,2.55,3.82,3.94,4.13
d_1,0.48,0.84,0.47,6.61,0.56,0.51,2.52,0.69,5.57,2.55,2.77,3.1,2.59,4.65,2.05,4.17
b_1,0.58,0.46,0.65,0.59,7.18,1.19,2.76,3.42,2.72,1.78,0.56,2.66,2.54,3.74,2.27,4.16
a_1,0.53,0.71,0.5,0.69,0.48,10.82,2.49,2.0,2.83,1.7,2.99,3.41,,5.21,4.16,3.75
h_1,0.85,1.17,0.88,1.33,1.07,1.19,14.89,3.49,4.04,5.36,5.02,5.38,4.36,3.08,5.28,11.0
d_0,1.1,0.91,2.27,0.28,0.95,0.94,3.25,12.49,4.3,2.86,5.99,5.22,4.9,8.27,5.63,6.72
c_0,0.88,1.13,0.37,1.27,1.11,1.22,3.58,5.31,13.18,4.71,9.57,6.25,5.37,7.16,7.33,9.21
g_1,0.9,0.75,0.94,2.05,0.91,0.85,3.83,4.34,4.82,18.87,5.65,7.73,4.46,7.04,4.53,3.43
b_0,0.96,1.01,0.97,1.39,0.4,1.35,4.25,5.6,4.64,5.22,15.31,4.83,11.78,7.2,6.58,8.16
f_0,0.95,0.32,1.39,1.46,0.87,0.85,4.46,5.64,6.06,4.32,7.1,17.08,6.2,6.15,13.33,7.86
a_0,1.24,1.32,1.21,0.93,1.08,,3.89,5.77,5.79,4.97,5.26,5.16,21.29,7.05,5.24,8.68
h_0,0.88,1.49,1.1,1.16,0.91,1.01,2.03,4.06,4.91,4.49,5.8,5.73,4.8,2.9,6.24,10.01
e_0,0.39,0.91,1.51,1.41,1.31,1.06,2.93,5.92,4.75,4.0,6.22,6.22,6.25,9.37,25.95,8.5
g_0,0.72,0.83,1.01,1.88,0.94,1.15,3.52,4.69,5.31,1.99,5.78,7.99,4.25,8.55,6.1,3.66
