,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.26,0.25,0.24,0.17,0.17,0.16,0.35,0.91,0.51,0.31,0.47,0.47,0.43,0.62,0.08,0.56
f_1,0.45,2.31,0.25,0.15,0.18,0.15,0.34,0.56,0.47,0.27,0.44,0.11,0.39,0.59,0.22,0.34
c_1,0.23,0.23,2.35,0.21,0.42,0.1,0.43,0.4,0.08,0.4,0.4,0.36,0.34,0.5,0.47,0.48
d_1,0.19,0.32,0.17,2.41,0.2,0.15,0.47,0.12,0.94,0.43,0.43,0.47,0.34,0.61,0.24,0.48
b_1,0.23,0.18,0.24,0.22,2.5,0.34,0.52,0.59,0.46,0.3,0.09,0.41,0.33,0.49,0.27,0.48
a_1,0.2,0.27,0.19,0.25,0.17,3.07,0.47,0.35,0.48,0.28,0.47,0.52,,0.68,0.5,0.44
h_1,0.33,0.44,0.33,0.48,0.37,0.34,2.79,0.61,0.68,0.9,0.79,0.82,0.58,0.4,0.63,1.28
d_0,0.43,0.35,0.84,0.1,0.33,0.27,0.61,2.17,0.73,0.48,0.94,0.8,0.65,1.08,0.67,0.78
c_0,0.34,0.43,0.14,0.46,0.39,0.35,0.67,0.92,2.23,0.79,1.5,0.95,0.71,0.93,0.87,1.07
g_1,0.35,0.29,0.35,0.75,0.32,0.24,0.72,0.75,0.81,3.15,0.89,1.18,0.59,0.92,0.54,0.4
b_0,0.37,0.38,0.36,0.51,0.14,0.38,0.8,0.97,0.78,0.87,2.4,0.73,1.55,0.94,0.78,0.95
f_0,0.37,0.12,0.52,0.53,0.3,0.24,0.84,0.98,1.02,0.72,1.11,2.6,0.82,0.8,1.59,0.91
a_0,0.48,0.5,0.45,0.34,0.38,,0.73,1.0,0.98,0.83,0.82,0.79,2.81,0.92,0.62,1.01
h_0,0.34,0.57,0.41,0.42,0.32,0.29,0.38,0.71,0.83,0.75,0.91,0.87,0.63,0.38,0.74,1.16
e_0,0.15,0.35,0.56,0.52,0.46,0.3,0.55,1.03,0.8,0.67,0.98,0.95,0.82,1.22,3.09,0.99
g_0,0.28,0.32,0.37,0.68,0.33,0.33,0.66,0.82,0.9,0.33,0.91,1.22,0.56,1.11,0.73,0.43
