,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.89,0.23,0.2,0.23,0.19,0.13,0.17,0.18,0.17,0.33,0.17,0.18,0.22,0.14,0.05,0.18
f_1,0.41,0.9,0.17,0.19,0.18,0.11,0.17,0.14,0.17,0.18,0.17,0.07,0.19,0.11,0.08,0.13
d_1,0.21,0.25,0.9,0.16,0.14,0.15,0.2,0.19,0.39,0.1,0.21,0.19,0.22,0.17,0.13,0.19
c_1,0.19,0.24,0.19,0.89,0.34,0.11,0.17,0.17,0.07,0.21,0.14,0.16,0.2,0.09,0.14,0.13
b_1,0.22,0.24,0.18,0.18,0.89,0.23,0.17,0.14,0.2,0.21,0.09,0.16,0.19,0.1,0.13,0.13
a_1,0.25,0.21,0.24,0.21,0.15,0.88,0.25,0.15,0.2,0.19,0.21,0.18,0.22,0.08,0.13,0.13
h_1,0.3,0.36,0.29,0.21,0.16,0.14,0.58,0.25,0.25,0.19,0.2,0.23,0.15,0.16,0.13,0.28
g_1,0.25,0.2,0.41,0.21,0.21,0.15,0.22,0.57,0.24,0.2,0.24,0.37,0.24,0.14,0.16,0.12
c_0,0.27,0.31,0.31,0.14,0.17,0.14,0.24,0.2,0.46,0.2,0.41,0.22,0.25,0.2,0.17,0.22
d_0,0.27,0.33,0.13,0.46,0.23,0.14,0.23,0.2,0.15,0.43,0.19,0.21,0.26,0.13,0.15,0.15
b_0,0.29,0.27,0.31,0.25,0.14,0.1,0.25,0.22,0.26,0.24,0.47,0.24,0.26,0.36,0.13,0.23
f_0,0.23,0.22,0.29,0.29,0.21,0.14,0.24,0.22,0.26,0.25,0.25,0.46,0.28,0.17,0.31,0.2
h_0,0.28,0.41,0.29,0.22,0.18,0.11,0.14,0.28,0.22,0.23,0.24,0.18,0.19,0.22,0.16,0.24
a_0,0.31,0.29,0.29,0.22,0.17,0.11,0.29,0.23,0.3,0.28,0.23,0.22,0.28,0.42,0.16,0.25
e_0,0.16,0.38,0.29,0.31,0.22,0.15,0.29,0.23,0.23,0.23,0.21,0.19,0.29,0.12,0.4,0.2
g_0,0.23,0.22,0.48,0.23,0.19,0.14,0.2,0.18,0.27,0.19,0.27,0.31,0.27,0.19,0.14,0.14
