,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.6,0.68,0.8,0.52,0.54,0.66,0.99,1.77,1.04,0.9,1.09,1.06,0.89,1.09,0.68,0.92
f_1,1.1,2.7,0.59,0.72,0.52,0.51,0.79,0.79,0.85,0.84,0.9,0.45,0.99,1.07,0.59,0.97
c_1,0.56,0.59,2.74,0.62,1.24,0.54,0.82,0.86,0.33,0.76,0.61,0.98,0.95,0.96,0.91,0.99
d_1,0.72,0.61,0.55,2.78,0.75,0.57,0.85,0.42,1.6,0.98,1.12,0.97,0.99,0.78,0.91,0.89
b_1,0.56,0.76,0.61,0.65,3.16,1.24,0.88,0.75,0.99,0.84,0.36,0.86,0.91,0.71,0.84,0.88
a_1,0.64,0.74,0.65,0.77,0.47,4.14,1.11,0.98,0.78,0.85,0.99,1.05,1.01,0.45,1.23,0.93
h_1,0.73,1.09,0.8,0.87,0.7,0.64,2.68,1.02,1.1,1.55,1.06,1.11,0.76,1.0,1.38,1.55
d_0,0.76,0.8,1.54,0.47,0.75,0.78,1.0,2.04,0.85,1.02,1.25,1.27,1.29,1.04,1.31,1.21
c_0,0.85,1.03,0.59,0.86,0.44,0.83,1.13,1.15,2.07,1.1,2.46,1.02,1.39,1.49,1.46,1.28
g_1,0.74,0.57,0.82,1.39,0.62,0.78,1.02,0.97,1.13,3.22,1.22,1.73,1.13,0.9,1.21,0.68
b_0,0.81,0.83,0.95,0.88,0.45,0.57,1.23,1.18,1.26,1.16,2.6,1.13,1.28,2.47,1.29,1.28
f_0,0.63,0.54,0.98,0.84,0.9,0.75,1.16,1.29,1.07,1.26,1.25,2.47,1.19,1.14,2.49,1.16
h_0,0.69,1.15,0.93,0.86,0.76,0.74,0.69,1.06,1.0,1.36,1.28,1.0,0.87,1.26,1.19,1.57
a_0,0.78,0.84,0.87,0.89,0.8,0.47,1.23,1.17,1.02,1.33,1.16,1.21,1.67,3.05,1.15,1.26
e_0,0.4,0.99,0.83,0.87,0.85,0.76,1.42,1.04,1.27,1.16,1.34,1.24,1.29,1.29,3.21,1.28
g_0,0.61,0.72,0.82,1.23,0.85,0.67,1.2,0.85,1.11,0.93,1.18,1.8,0.97,1.43,1.56,0.98
