,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.43,0.24,0.26,0.27,0.3,0.21,0.57,1.04,0.74,0.49,0.6,0.44,0.62,0.58,,0.71
f_1,0.41,2.48,0.33,0.33,0.2,0.21,0.5,0.54,0.63,0.68,0.67,,0.73,0.68,0.48,0.67
c_1,0.31,0.22,2.49,0.27,0.49,0.29,0.5,0.53,,0.52,0.44,0.6,0.85,0.76,0.71,0.81
d_1,0.27,0.23,0.3,2.5,0.36,0.27,0.46,,1.04,0.51,0.72,0.63,0.79,0.46,0.54,0.62
b_1,0.21,0.39,0.22,0.22,2.72,0.47,0.57,0.67,0.85,0.58,,0.7,0.73,0.56,,0.56
a_1,0.28,0.3,0.24,0.3,0.17,3.12,0.72,0.65,0.49,0.56,0.7,0.74,0.55,,,0.73
h_1,0.5,0.59,0.55,0.51,0.55,0.46,3.77,1.15,1.2,1.24,1.26,1.23,,,1.31,2.08
d_0,0.53,0.77,0.96,,0.52,0.6,1.22,3.43,1.13,1.02,1.29,1.47,1.96,1.02,1.35,2.17
c_0,0.57,0.6,,0.43,0.53,0.74,1.2,1.56,3.45,1.16,1.88,1.19,1.96,1.87,1.63,2.13
g_1,0.55,0.36,0.46,0.74,0.45,0.46,0.97,1.37,1.24,4.24,1.27,1.57,1.6,1.02,1.13,
b_0,0.68,0.65,0.75,0.65,,0.5,1.13,1.29,1.32,1.05,3.82,1.07,1.93,2.44,1.18,1.43
f_0,0.65,,0.68,0.69,0.55,0.65,1.31,1.42,1.34,1.23,1.44,3.77,2.12,,2.0,1.39
h_0,0.83,1.02,0.79,0.81,0.79,0.94,,1.31,1.5,1.54,1.57,1.13,,1.41,2.05,2.7
a_0,0.64,0.62,0.62,0.78,0.6,,,1.42,1.04,1.28,0.87,,2.38,4.68,1.46,1.5
e_0,,0.68,0.43,0.64,,,1.81,1.35,1.37,1.29,1.36,1.52,1.36,1.46,4.64,1.49
g_0,0.65,0.78,0.7,1.0,0.84,0.73,1.31,1.45,1.28,,1.74,3.02,1.67,1.93,1.49,
