,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.32,0.52,0.57,0.39,0.36,0.39,0.97,1.98,1.2,0.78,1.09,1.05,1.08,0.92,0.49,1.07
f_1,0.85,2.36,0.46,0.54,0.35,0.31,0.73,0.85,0.92,0.73,0.89,0.41,1.25,0.91,0.48,1.14
c_1,0.43,0.41,2.37,0.47,0.88,0.32,0.79,0.96,0.29,0.68,0.61,0.99,1.2,0.81,0.77,1.18
d_1,0.55,0.46,0.42,2.39,0.53,0.34,0.82,0.4,1.77,0.88,1.12,1.0,1.21,0.65,0.77,1.0
b_1,0.42,0.59,0.46,0.46,2.57,0.76,0.86,0.84,1.15,0.74,0.28,0.84,1.1,0.62,0.68,1.01
a_1,0.48,0.56,0.48,0.56,0.32,2.94,1.15,1.1,0.84,0.71,1.03,1.06,1.24,0.3,1.08,1.07
h_1,0.55,0.83,0.55,0.64,0.48,0.38,2.98,1.1,1.23,1.4,1.07,1.18,0.88,0.82,1.22,1.8
d_0,0.58,0.6,1.12,0.3,0.5,0.5,1.03,2.54,0.99,0.93,1.26,1.36,1.64,0.88,1.09,1.48
c_0,0.63,0.74,0.39,0.6,0.31,0.51,1.15,1.29,2.53,0.93,2.36,1.08,1.77,1.18,1.31,1.49
g_1,0.56,0.43,0.62,1.0,0.41,0.45,0.97,1.13,1.21,3.26,1.16,1.76,1.38,0.8,0.96,0.63
b_0,0.62,0.67,0.71,0.65,0.26,0.37,1.09,1.36,1.49,0.97,2.9,1.11,1.68,2.25,1.14,1.46
f_0,0.5,0.37,0.75,0.62,0.64,0.45,1.18,1.38,1.22,1.02,1.27,2.73,1.52,0.99,2.12,1.3
h_0,0.53,0.9,0.69,0.62,0.53,0.47,0.62,1.22,1.1,1.21,1.33,0.99,0.96,1.0,1.07,1.74
a_0,0.6,0.61,0.67,0.69,0.55,0.27,1.28,1.38,1.13,1.2,1.18,1.11,2.09,2.93,0.96,1.52
e_0,0.21,0.76,0.66,0.63,0.62,0.47,1.45,1.15,1.43,0.98,1.28,1.19,1.58,1.12,3.06,1.59
g_0,0.5,0.53,0.63,0.95,0.61,0.42,1.25,0.88,1.26,0.76,1.25,1.87,1.15,1.14,1.37,1.0
