,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.06,2.23,1.33,2.64,2.34,2.0,0.93,0.93,0.74,0.6,0.76,0.75,0.67,1.03,0.66,0.58
d_1,2.46,1.06,2.44,2.11,2.19,1.83,0.84,0.59,0.96,0.67,0.58,0.65,0.48,0.57,0.55,0.32
f_1,3.04,2.08,1.06,2.33,1.91,1.69,0.63,0.97,0.81,0.65,0.87,0.59,0.35,0.53,0.52,0.56
c_1,1.97,3.16,2.54,1.06,3.18,1.92,1.07,0.88,0.48,1.01,0.68,0.64,0.63,0.59,0.65,0.48
b_1,2.75,2.8,3.58,1.54,1.07,3.37,1.06,1.13,0.89,1.09,0.75,1.51,0.67,0.81,0.61,0.69
a_1,3.94,3.64,4.18,3.7,1.81,1.07,1.44,1.28,0.98,1.14,1.16,1.19,0.75,0.9,1.93,0.79
h_1,6.11,5.82,6.7,6.41,5.7,4.92,1.34,2.61,1.87,1.81,1.88,1.67,2.24,1.74,1.62,1.3
g_1,6.08,6.54,7.47,6.06,5.78,5.56,1.85,1.36,2.12,1.91,2.17,1.99,1.12,1.59,1.68,1.81
d_0,4.64,11.88,7.06,8.02,6.21,6.94,2.92,2.79,1.55,2.35,1.9,1.78,1.59,1.67,1.6,1.59
c_0,8.1,4.67,7.89,13.17,6.82,6.16,2.84,2.81,2.83,1.53,2.19,2.47,1.67,1.95,1.98,1.83
f_0,6.6,7.77,16.77,8.19,7.61,7.18,3.02,2.01,2.62,2.43,1.52,2.36,1.96,2.47,1.76,1.29
b_0,8.13,6.67,8.22,9.81,11.06,6.05,3.36,2.99,3.24,1.63,2.59,1.52,1.77,1.97,2.15,1.88
h_0,9.09,9.29,13.18,9.25,8.34,8.41,4.59,4.32,2.8,2.77,2.54,2.71,3.28,2.33,2.14,1.9
e_0,12.06,10.48,15.43,11.81,10.62,7.41,3.46,3.69,3.1,3.12,1.84,3.04,2.42,1.59,2.62,1.68
a_0,9.97,10.12,11.35,14.15,18.36,12.22,4.51,4.71,4.34,2.73,3.7,1.76,2.82,2.54,1.6,2.1
g_0,11.78,13.03,12.5,13.86,10.72,9.95,3.4,4.99,3.4,3.75,3.29,3.51,2.43,3.14,2.88,3.69
