,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,2.44,1.44,1.47,2.03,1.87,1.58,3.22,3.44,5.44,3.4,3.45,4.33,4.87,3.9,4.11,4.92
d_1,1.69,2.51,1.76,1.4,1.6,1.68,3.25,3.13,2.93,5.05,4.26,3.68,4.61,3.75,4.24,4.23
f_1,2.39,1.57,2.53,1.75,1.49,1.39,3.05,3.05,3.7,3.3,3.58,2.77,3.6,2.8,3.73,4.54
c_1,1.5,1.72,1.59,2.65,2.64,1.8,2.99,3.31,3.03,2.7,2.77,3.47,4.73,3.58,3.17,3.92
b_1,1.42,1.74,1.84,1.47,2.82,2.97,3.35,3.22,3.29,3.89,3.33,3.56,4.75,3.95,2.97,4.8
a_1,1.66,1.76,2.03,1.73,1.33,3.26,3.55,3.33,3.57,3.78,4.34,3.35,4.91,3.82,3.62,4.79
h_1,1.71,1.82,2.04,1.8,1.67,1.64,4.46,3.78,3.46,3.36,3.57,3.81,4.34,4.12,3.94,5.9
g_1,1.57,2.24,1.6,1.68,1.67,1.72,3.34,4.48,3.27,3.74,3.78,4.9,4.46,4.36,3.7,4.35
d_0,1.5,1.64,1.59,2.63,1.95,1.86,3.48,3.37,4.42,2.86,2.99,3.75,4.69,4.06,3.52,5.05
c_0,1.83,1.62,1.92,1.76,1.44,1.61,3.6,3.48,3.86,4.58,5.81,3.99,5.37,4.18,5.34,4.81
b_0,1.65,1.7,1.87,1.95,1.52,1.35,3.47,3.35,4.05,3.49,4.87,3.94,5.07,3.9,6.3,5.11
f_0,1.41,1.92,1.68,1.89,1.71,1.88,3.41,3.47,4.01,3.46,3.9,4.81,5.16,6.52,3.86,4.96
h_0,1.58,1.81,2.15,1.79,1.68,1.75,2.92,3.98,3.57,3.38,4.0,3.57,3.98,4.15,3.78,5.23
e_0,1.35,1.92,1.99,1.87,1.79,1.87,3.34,3.54,3.6,3.56,4.02,3.23,5.15,5.34,4.06,4.81
a_0,1.58,1.8,1.73,2.05,2.01,1.31,3.53,3.47,3.78,3.17,3.6,3.9,5.02,4.08,5.6,5.32
g_0,1.55,2.23,1.68,1.87,1.64,1.63,3.25,3.25,3.31,3.51,3.52,4.65,4.99,4.67,3.55,4.26
