,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,100.13,34.11,30.49,69.46,81.47,192.29,6915.09,7610.75,16590.11,11594.99,23369.34,20851.31,68755.32,35871.44,97480.7,146780.84
d_1,31.21,111.77,41.78,44.64,80.7,188.36,6339.27,6380.17,4521.69,19763.27,18116.76,22570.68,58254.04,65361.72,87016.12,96419.09
f_1,52.02,32.66,120.25,51.87,62.52,148.66,5181.68,6075.05,11173.4,11871.13,6329.34,18802.41,37607.18,42920.63,70053.35,132232.27
c_1,22.03,32.66,33.08,158.85,119.42,154.87,4953.58,6052.26,8523.43,3565.02,16297.38,13846.56,54827.44,43648.4,68730.34,97137.55
b_1,21.37,26.54,32.6,30.84,215.68,244.47,5034.49,5258.29,8813.86,11376.06,15742.33,8483.81,47053.98,46388.82,39594.2,105748.72
a_1,16.81,20.01,26.9,36.22,34.0,456.4,3757.1,3668.3,4601.28,7276.68,10907.11,12440.33,33285.37,41168.19,18658.49,79514.92
h_1,7.58,10.12,16.39,13.53,21.45,49.52,3585.81,2450.91,2958.21,4027.94,5542.32,5224.82,12700.74,21796.64,26622.0,55657.89
g_1,7.53,14.68,9.29,15.76,19.73,56.16,1464.69,3915.1,2905.51,3126.87,8056.79,5711.63,12865.83,19000.1,21588.05,23303.31
d_0,7.79,6.2,8.81,22.45,18.53,62.56,1634.43,1486.42,4481.11,2720.22,4686.6,3637.34,14321.34,16292.45,18537.69,37197.38
c_0,8.65,9.02,10.47,9.35,14.8,42.41,1355.49,1624.18,2424.45,5299.88,5551.82,7445.8,15884.39,15872.85,19236.12,31578.24
f_0,5.87,8.8,5.3,12.67,17.71,35.89,1359.98,1045.72,2590.74,2161.77,7462.22,4094.4,15860.73,23498.62,16854.22,30688.3
b_0,5.58,7.51,9.46,12.46,6.93,39.8,1389.45,1315.21,2713.2,2488.56,4725.4,7479.31,12204.04,12074.59,31332.78,28277.71
h_0,3.54,5.75,9.45,7.87,11.54,31.66,370.64,1383.19,1585.27,2040.12,2924.53,3543.79,5425.02,9556.67,10872.72,21324.02
e_0,2.15,5.46,6.89,8.87,11.6,27.58,748.69,1264.39,1849.48,1826.89,2605.47,3710.03,10443.89,18764.08,12695.36,19571.61
a_0,3.73,4.63,6.17,7.48,12.43,,720.23,882.16,1808.01,1536.18,3285.74,2524.87,9531.23,7860.35,22874.68,16054.04
g_0,2.71,6.64,4.01,7.21,7.65,21.57,634.53,516.84,1254.96,1397.27,3073.49,2399.29,8378.81,8765.19,10148.01,9640.86
