,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.87,0.61,1.02,0.99,0.84,0.78,0.76,0.75,0.54,0.64,0.69,0.79,,0.65,0.65
d_1,1.16,1.0,1.04,0.91,0.92,1.18,0.7,0.57,,0.89,0.62,0.51,0.63,0.65,0.51,0.37
f_1,1.64,0.96,1.0,0.97,0.94,0.7,0.57,0.77,0.76,0.65,0.56,,0.41,0.52,0.54,0.58
c_1,0.98,1.1,1.03,1.0,1.43,0.76,0.74,0.82,0.53,,0.57,0.71,0.75,0.54,0.6,0.52
b_1,1.01,1.08,1.06,0.7,1.0,1.21,0.78,0.7,0.82,0.9,,0.64,0.65,0.52,,0.67
a_1,1.19,0.85,1.43,1.32,0.83,1.0,0.96,0.77,0.58,0.71,0.73,0.77,0.64,0.73,,0.76
h_1,1.29,1.43,1.74,1.35,1.28,1.04,1.0,1.33,0.88,1.02,0.66,0.64,,1.11,0.79,1.05
g_1,1.32,1.76,1.3,1.21,1.42,1.31,0.75,1.0,1.08,0.97,1.06,1.65,0.66,0.82,0.82,
d_0,1.32,,1.32,1.89,1.22,1.72,1.14,0.92,1.0,1.05,0.81,0.87,0.95,0.97,0.74,0.85
c_0,1.85,1.12,1.54,,1.11,1.42,0.98,1.03,0.96,1.0,1.27,1.27,0.97,0.77,0.81,0.86
b_0,1.57,1.61,1.8,1.76,,1.38,1.52,0.94,1.23,0.79,1.0,0.89,0.72,0.62,1.24,0.84
f_0,1.45,1.94,,1.41,1.57,1.29,1.57,0.61,1.14,0.79,1.12,1.0,1.0,1.29,0.87,0.73
h_0,1.27,1.6,2.42,1.33,1.54,1.55,,1.52,1.05,1.04,1.39,1.0,,0.89,0.9,0.9
e_0,,1.53,1.92,1.85,1.94,1.36,0.9,1.22,1.03,1.3,1.61,0.78,1.12,1.0,,1.06
a_0,1.53,1.98,1.85,1.67,,,1.27,1.22,1.34,1.23,0.81,1.15,1.12,,1.0,0.9
g_0,1.53,2.73,1.71,1.91,1.49,1.31,0.95,,1.18,1.16,1.19,1.37,1.12,0.94,1.11,
