,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,9.97,1.84,0.63,0.63,0.61,0.55,0.87,0.94,0.9,0.85,0.88,0.58,1.01,0.96,0.91,0.62
e_1,0.7,10.36,0.57,0.96,0.75,0.66,0.88,2.54,0.87,0.9,1.02,1.1,1.0,0.93,1.14,0.68
d_1,0.83,0.69,13.4,0.55,0.57,0.61,0.9,0.62,1.06,2.59,1.28,0.99,0.99,1.03,0.97,1.16
c_1,0.62,0.54,0.72,11.69,1.79,0.72,0.8,0.74,0.89,0.53,0.57,1.07,0.92,0.98,0.93,1.07
b_1,0.74,0.55,0.64,0.71,12.11,2.06,1.08,0.95,0.84,0.81,0.7,1.05,0.84,0.63,0.94,1.06
a_1,0.72,0.68,0.82,0.78,0.53,20.1,1.37,0.88,1.03,0.81,0.96,0.81,1.17,0.86,0.86,0.98
h_1,1.1,0.79,1.09,0.81,0.7,0.57,2.87,0.63,1.4,0.88,1.09,0.94,0.72,0.87,1.35,1.04
d_0,0.77,0.57,0.4,2.79,1.02,0.81,1.15,1.93,0.76,0.56,0.92,1.01,0.83,0.84,1.18,1.26
g_1,0.74,0.65,1.9,0.56,0.61,0.7,0.96,0.76,4.09,1.26,1.28,2.17,1.32,1.26,0.82,1.16
c_0,0.95,0.87,0.94,0.66,0.49,0.76,0.99,0.92,1.05,2.16,3.99,1.17,1.28,1.77,1.04,1.28
b_0,0.92,0.78,1.2,0.79,0.54,0.49,1.16,0.87,0.98,1.14,2.53,1.0,1.19,2.88,1.2,1.2
f_0,0.58,0.46,1.09,0.91,0.91,0.77,1.2,1.02,1.13,1.14,1.45,2.6,1.54,1.44,1.08,3.32
h_0,1.31,0.76,1.09,0.69,0.67,0.69,0.74,0.77,1.56,0.93,1.08,0.88,0.71,1.15,1.34,1.02
a_0,0.82,0.74,1.13,1.01,0.74,0.55,1.23,0.94,1.21,0.94,1.28,1.16,1.16,2.47,1.26,1.0
g_0,0.64,0.54,1.6,0.99,0.85,0.7,1.14,0.73,0.79,1.07,1.28,1.79,0.96,1.16,0.85,1.23
e_0,0.88,0.38,0.9,0.9,1.0,0.86,1.11,1.01,1.06,1.01,1.22,1.22,1.66,1.09,1.27,2.89
