,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.23,1.07,1.46,1.59,3.59,16.84,35.15,40.77,35.63,33.7,,81.38,98.11,119.19,141.25
e_1,0.81,1.0,0.95,1.12,1.39,3.57,17.14,51.86,27.66,32.65,33.89,46.65,82.43,71.36,150.88,
d_1,0.94,1.05,1.0,0.9,1.45,2.88,18.39,,18.99,46.64,32.17,33.19,58.32,110.23,81.39,114.53
c_1,0.68,0.89,1.11,1.0,1.62,2.7,13.72,15.74,34.45,,28.26,40.92,70.01,90.77,80.44,90.0
b_1,0.63,0.72,0.69,0.62,1.0,4.4,13.36,21.93,20.62,23.5,,27.05,41.43,48.55,74.34,62.02
a_1,0.28,0.28,0.35,0.37,0.23,1.0,,7.93,,6.73,12.32,11.89,27.12,,26.4,
h_1,0.06,0.06,0.05,0.07,0.07,,1.0,1.34,1.94,1.56,1.98,1.95,,4.65,6.16,7.4
d_0,0.03,0.02,,0.06,0.05,0.13,0.75,1.0,1.33,1.12,1.31,1.9,2.32,2.55,4.79,4.92
g_1,0.02,0.04,0.05,0.03,0.05,,0.51,0.75,1.0,1.03,1.37,2.03,2.61,3.03,,3.69
c_0,0.03,0.03,0.02,,0.04,0.15,0.64,0.89,0.98,1.0,1.46,1.33,2.61,2.81,3.81,2.92
b_0,0.03,0.03,0.03,0.04,,0.08,0.51,0.76,0.73,0.69,1.0,0.9,2.13,3.65,2.13,2.79
f_0,,0.02,0.03,0.02,0.04,0.08,0.51,0.53,0.49,0.75,1.11,1.0,1.94,2.11,1.83,3.66
h_0,0.01,0.01,0.02,0.01,0.02,0.04,,0.43,0.38,0.38,0.47,0.52,,1.14,1.48,1.49
a_0,0.01,0.01,0.01,0.01,0.02,,0.22,0.39,0.33,0.36,0.27,0.47,0.88,1.0,1.52,
g_0,0.01,0.01,0.01,0.01,0.01,0.04,0.16,0.21,,0.26,0.47,0.55,0.68,0.66,,
e_0,0.01,,0.01,0.01,0.02,,0.14,0.2,0.27,0.34,0.36,0.27,0.67,,,1.0
