,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,2.45,0.69,0.75,0.57,0.7,0.59,0.94,0.89,1.75,0.79,1.05,0.85,0.87,1.05,0.58,1.01
f_1,1.06,2.55,0.67,0.64,0.58,0.51,0.83,0.81,0.82,0.75,0.48,0.92,0.93,0.94,0.61,0.88
c_1,0.7,0.61,2.74,0.56,1.12,0.57,0.91,0.84,0.79,0.49,0.95,0.77,0.9,1.01,0.98,0.88
d_1,0.64,0.68,0.49,2.97,0.56,0.65,0.85,1.03,0.41,1.75,1.03,1.23,1.24,1.02,1.07,1.01
b_1,0.54,0.62,0.71,0.72,2.97,1.23,0.86,0.75,0.97,0.91,0.93,0.55,0.68,0.9,1.0,1.12
a_1,0.55,0.75,0.72,0.7,0.67,4.72,1.04,0.82,0.91,1.01,0.94,0.88,0.4,0.9,1.2,0.8
h_1,0.84,1.11,0.75,0.8,0.71,0.78,2.6,1.43,1.05,0.97,1.09,1.07,0.95,0.75,1.2,1.41
g_1,0.74,0.64,0.81,1.39,0.65,0.75,1.0,3.08,0.78,1.21,1.65,1.22,1.12,1.1,1.19,0.74
d_0,0.7,0.91,1.62,0.43,0.73,0.69,1.1,1.03,1.95,0.76,1.11,1.01,1.04,1.08,0.92,1.14
c_0,0.79,0.98,0.53,0.9,0.64,0.67,1.18,1.32,0.99,2.44,1.23,2.59,1.36,1.12,1.18,1.26
f_0,0.77,0.59,0.85,0.81,0.79,0.82,1.2,1.18,1.25,1.12,2.58,1.43,1.54,1.3,2.57,1.1
b_0,0.88,0.94,0.9,1.01,0.35,0.52,1.21,1.47,0.94,1.35,1.17,2.86,2.46,1.22,1.19,1.19
a_0,0.86,0.88,0.77,0.8,0.7,0.49,1.27,1.35,0.97,1.26,1.54,1.12,3.21,1.33,1.39,1.03
h_0,0.71,1.2,0.79,0.91,0.67,0.63,0.76,1.34,1.17,1.21,0.91,1.06,1.37,0.77,1.11,1.45
e_0,0.38,0.97,0.79,1.01,0.8,0.85,1.33,1.07,0.92,1.32,1.1,1.22,0.96,1.25,3.38,1.19
g_0,0.71,0.79,0.88,1.32,0.72,0.67,1.13,0.83,0.91,0.99,1.73,1.22,1.09,1.14,1.36,0.84
